innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,60,60,ZIM,1,24,24,TMK Mawoyo,ST Gabriel,1,5,34,41.44,974,38.29,Right-hand bat,0,0,0,288.1,17.62,36.1,rf,1,WIN,seam,yes,11.2684703433923,9.279916753381892
1,72,72,ZIM,1,26,26,TMK Mawoyo,ST Gabriel,1,6,35,41.44,974,38.29,Right-hand bat,6,2,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,73,73,ZIM,1,26,26,TMK Mawoyo,ST Gabriel,1,6,36,41.44,974,38.29,Right-hand bat,7,2,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,74,74,ZIM,1,26,26,TMK Mawoyo,ST Gabriel,1,6,37,41.44,974,38.29,Right-hand bat,8,2,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,75,75,ZIM,1,26,26,TMK Mawoyo,ST Gabriel,1,6,38,41.44,974,38.29,Right-hand bat,9,2,0,288.1,17.62,36.1,rf,4,WIN,seam,yes,11.2684703433923,9.279916753381892
1,76,76,ZIM,1,30,30,TMK Mawoyo,ST Gabriel,1,10,39,41.44,974,38.29,Right-hand bat,10,6,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,77,77,ZIM,1,30,30,TMK Mawoyo,ST Gabriel,1,10,40,41.44,974,38.29,Right-hand bat,11,6,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,84,84,ZIM,1,30,30,TMK Mawoyo,ST Gabriel,1,10,41,41.44,974,38.29,Right-hand bat,12,6,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,85,85,ZIM,1,30,30,TMK Mawoyo,ST Gabriel,1,10,42,41.44,974,38.29,Right-hand bat,13,6,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,86,86,ZIM,1,30,30,TMK Mawoyo,ST Gabriel,1,10,43,41.44,974,38.29,Right-hand bat,14,6,0,288.1,17.62,36.1,rf,2,WIN,seam,yes,11.2684703433923,9.279916753381892
1,87,87,ZIM,1,32,32,TMK Mawoyo,ST Gabriel,1,12,44,41.44,974,38.29,Right-hand bat,15,8,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,88,88,ZIM,1,32,32,TMK Mawoyo,ST Gabriel,1,12,45,41.44,974,38.29,Right-hand bat,16,8,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,89,89,ZIM,1,32,32,TMK Mawoyo,ST Gabriel,1,12,46,41.44,974,38.29,Right-hand bat,17,8,0,288.1,17.62,36.1,rf,1,WIN,seam,yes,11.2684703433923,9.279916753381892
1,100,100,ZIM,1,44,44,TMK Mawoyo,ST Gabriel,1,17,53,41.44,974,38.29,Right-hand bat,22,16,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,101,101,ZIM,1,44,44,TMK Mawoyo,ST Gabriel,1,17,54,41.44,974,38.29,Right-hand bat,23,16,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,108,108,ZIM,1,50,50,TMK Mawoyo,ST Gabriel,1,17,55,41.44,974,38.29,Right-hand bat,24,16,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,109,109,ZIM,1,50,50,TMK Mawoyo,ST Gabriel,1,17,56,41.44,974,38.29,Right-hand bat,25,16,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,110,110,ZIM,1,50,50,TMK Mawoyo,ST Gabriel,1,17,57,41.44,974,38.29,Right-hand bat,26,16,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,111,111,ZIM,1,50,50,TMK Mawoyo,ST Gabriel,1,17,58,41.44,974,38.29,Right-hand bat,27,16,0,288.1,17.62,36.1,rf,4,WIN,seam,yes,11.2684703433923,9.279916753381892
1,112,112,ZIM,1,54,54,TMK Mawoyo,ST Gabriel,1,21,59,41.44,974,38.29,Right-hand bat,28,20,0,288.1,17.62,36.1,rf,0,WIN,seam,yes,11.2684703433923,9.279916753381892
1,113,113,ZIM,1,54,54,TMK Mawoyo,ST Gabriel,1,21,60,41.44,974,38.29,Right-hand bat,29,20,0,288.1,17.62,36.1,rf,3,WIN,seam,yes,11.2684703433923,9.279916753381892
