innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,859,174,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,52,34.76,2285,51.72,Right-hand bat,48,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,860,175,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,53,34.76,2285,51.72,Right-hand bat,49,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,861,176,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,54,34.76,2285,51.72,Right-hand bat,50,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,862,177,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,55,34.76,2285,51.72,Right-hand bat,51,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,863,178,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,56,34.76,2285,51.72,Right-hand bat,52,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,864,179,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,57,34.76,2285,51.72,Right-hand bat,53,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,871,186,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,58,34.76,2285,51.72,Right-hand bat,54,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,872,187,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,59,34.76,2285,51.72,Right-hand bat,55,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,873,188,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,60,34.76,2285,51.72,Right-hand bat,56,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,874,189,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,61,34.76,2285,51.72,Right-hand bat,57,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,875,190,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,62,34.76,2285,51.72,Right-hand bat,58,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,876,191,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,63,34.76,2285,51.72,Right-hand bat,59,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,883,198,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,64,34.76,2285,51.72,Right-hand bat,60,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,884,199,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,65,34.76,2285,51.72,Right-hand bat,61,23,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,885,200,ZIM,3,61,-330,BRM Taylor,Sajedul Islam,4,13,66,34.76,2285,51.72,Right-hand bat,62,23,0,330,77.33,110,lm,3,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,897,212,ZIM,3,65,-326,BRM Taylor,Sajedul Islam,4,16,73,34.76,2285,51.72,Right-hand bat,68,26,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,898,213,ZIM,3,65,-326,BRM Taylor,Sajedul Islam,4,16,74,34.76,2285,51.72,Right-hand bat,69,26,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,899,214,ZIM,3,65,-326,BRM Taylor,Sajedul Islam,4,16,75,34.76,2285,51.72,Right-hand bat,70,26,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,900,215,ZIM,3,65,-326,BRM Taylor,Sajedul Islam,4,16,76,34.76,2285,51.72,Right-hand bat,71,26,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,907,222,ZIM,3,67,-324,BRM Taylor,Sajedul Islam,4,16,77,34.76,2285,51.72,Right-hand bat,72,26,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
2,908,223,ZIM,3,67,-324,BRM Taylor,Sajedul Islam,4,16,78,34.76,2285,51.72,Right-hand bat,73,26,0,330,77.33,110,lm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
