innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2188,391,ZIM,6,170,-230,R Mutumbami,Ziaur Rahman,8,1,3,16.25,126,51.58,Right-hand bat,72,36,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2189,392,ZIM,6,170,-230,R Mutumbami,Ziaur Rahman,8,1,4,16.25,126,51.58,Right-hand bat,73,36,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2190,393,ZIM,6,170,-230,R Mutumbami,Ziaur Rahman,8,1,5,16.25,126,51.58,Right-hand bat,74,36,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2191,394,ZIM,6,170,-230,R Mutumbami,Ziaur Rahman,8,1,6,16.25,126,51.58,Right-hand bat,75,36,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2192,395,ZIM,6,170,-230,R Mutumbami,Ziaur Rahman,8,1,7,16.25,126,51.58,Right-hand bat,76,36,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2193,396,ZIM,6,170,-230,R Mutumbami,Ziaur Rahman,8,1,8,16.25,126,51.58,Right-hand bat,77,36,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2200,403,ZIM,6,172,-228,R Mutumbami,Ziaur Rahman,8,1,9,16.25,126,51.58,Right-hand bat,78,36,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2201,404,ZIM,6,172,-228,R Mutumbami,Ziaur Rahman,8,1,10,16.25,126,51.58,Right-hand bat,79,36,2,180,17.75,45,rfm,4,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2202,405,ZIM,6,176,-224,R Mutumbami,Ziaur Rahman,8,5,11,16.25,126,51.58,Right-hand bat,80,40,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2203,406,ZIM,6,176,-224,R Mutumbami,Ziaur Rahman,8,5,12,16.25,126,51.58,Right-hand bat,81,40,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2204,407,ZIM,6,176,-224,R Mutumbami,Ziaur Rahman,8,5,13,16.25,126,51.58,Right-hand bat,82,40,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2205,408,ZIM,6,176,-224,R Mutumbami,Ziaur Rahman,8,5,14,16.25,126,51.58,Right-hand bat,83,40,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2217,420,ZIM,6,188,-212,R Mutumbami,Ziaur Rahman,8,5,17,16.25,126,51.58,Right-hand bat,89,41,2,180,17.75,45,rfm,1,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2241,444,ZIM,6,190,-210,R Mutumbami,Ziaur Rahman,8,6,30,16.25,126,51.58,Right-hand bat,101,43,2,180,17.75,45,rfm,0,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2260,463,ZIM,6,196,-204,R Mutumbami,Ziaur Rahman,8,8,38,16.25,126,51.58,Right-hand bat,102,43,2,180,17.75,45,rfm,4,ZIM,seam,yes,20.871794871794872,10.435897435897436
4,2261,464,ZIM,6,200,-200,R Mutumbami,Ziaur Rahman,8,12,39,16.25,126,51.58,Right-hand bat,103,47,2,180,17.75,45,rfm,W,ZIM,seam,yes,20.871794871794872,10.435897435897436
