innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,783,241,ZIM,3,113,-136,MN Waller,Younis Khan,4,37,40,27.69,764,47.12,Right-hand bat,0,0,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,784,242,ZIM,3,113,-136,MN Waller,Younis Khan,4,37,41,27.69,764,47.12,Right-hand bat,1,0,0,786,53.77,87.3,NA,1,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,795,253,ZIM,3,117,-132,MN Waller,Younis Khan,4,38,47,27.69,764,47.12,Right-hand bat,6,3,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,796,254,ZIM,3,117,-132,MN Waller,Younis Khan,4,38,48,27.69,764,47.12,Right-hand bat,7,3,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,797,255,ZIM,3,117,-132,MN Waller,Younis Khan,4,38,49,27.69,764,47.12,Right-hand bat,8,3,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,798,256,ZIM,3,117,-132,MN Waller,Younis Khan,4,38,50,27.69,764,47.12,Right-hand bat,9,3,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,799,257,ZIM,3,117,-132,MN Waller,Younis Khan,4,38,51,27.69,764,47.12,Right-hand bat,10,3,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,800,258,ZIM,3,117,-132,MN Waller,Younis Khan,4,38,52,27.69,764,47.12,Right-hand bat,11,3,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,819,277,ZIM,3,131,-118,MN Waller,Younis Khan,4,43,58,27.69,764,47.12,Right-hand bat,18,11,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,820,278,ZIM,3,131,-118,MN Waller,Younis Khan,4,43,59,27.69,764,47.12,Right-hand bat,19,11,0,786,53.77,87.3,NA,4,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,821,279,ZIM,3,135,-114,MN Waller,Younis Khan,4,47,60,27.69,764,47.12,Right-hand bat,20,15,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,822,280,ZIM,3,135,-114,MN Waller,Younis Khan,4,47,61,27.69,764,47.12,Right-hand bat,21,15,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,823,281,ZIM,3,135,-114,MN Waller,Younis Khan,4,47,62,27.69,764,47.12,Right-hand bat,22,15,0,786,53.77,87.3,NA,4,ZIM,seam,yes,13.928336620644313,14.661406969099277
2,824,282,ZIM,3,139,-110,MN Waller,Younis Khan,4,51,63,27.69,764,47.12,Right-hand bat,23,19,0,786,53.77,87.3,NA,0,ZIM,seam,yes,13.928336620644313,14.661406969099277
