innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,660,0,PAK,0,0,-294,Khurram Manzoor,T Panyangara,1,0,0,29.8,1072,41.69,Right-hand bat,0,0,0,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,661,1,PAK,0,0,-294,Khurram Manzoor,T Panyangara,1,0,1,29.8,1072,41.69,Right-hand bat,1,0,0,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,662,2,PAK,0,0,-294,Khurram Manzoor,T Panyangara,1,0,2,29.8,1072,41.69,Right-hand bat,2,0,0,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,663,3,PAK,0,0,-294,Khurram Manzoor,T Panyangara,1,0,3,29.8,1072,41.69,Right-hand bat,3,0,0,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,664,4,PAK,0,0,-294,Khurram Manzoor,T Panyangara,1,0,4,29.8,1072,41.69,Right-hand bat,4,0,0,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,665,5,PAK,0,0,-294,Khurram Manzoor,T Panyangara,1,0,5,29.8,1072,41.69,Right-hand bat,5,0,0,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,676,16,PAK,0,10,-284,Khurram Manzoor,T Panyangara,1,1,8,29.8,1072,41.69,Right-hand bat,10,7,0,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,677,17,PAK,0,10,-284,Khurram Manzoor,T Panyangara,1,1,9,29.8,1072,41.69,Right-hand bat,11,7,0,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,689,29,PAK,0,12,-282,Khurram Manzoor,T Panyangara,1,1,12,29.8,1072,41.69,Right-hand bat,17,8,0,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,815,155,PAK,2,65,-229,Khurram Manzoor,T Panyangara,1,31,80,29.8,1072,41.69,Right-hand bat,29,11,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,822,162,PAK,2,65,-229,Khurram Manzoor,T Panyangara,1,31,81,29.8,1072,41.69,Right-hand bat,30,11,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,823,163,PAK,2,65,-229,Khurram Manzoor,T Panyangara,1,31,82,29.8,1072,41.69,Right-hand bat,31,11,1,1062.1,28.52,62.5,rfm,4,ZIM,seam,no,17.43625,6.6137500000000005
2,824,164,PAK,2,69,-225,Khurram Manzoor,T Panyangara,1,35,83,29.8,1072,41.69,Right-hand bat,32,15,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,825,165,PAK,2,69,-225,Khurram Manzoor,T Panyangara,1,35,84,29.8,1072,41.69,Right-hand bat,33,15,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,826,166,PAK,2,69,-225,Khurram Manzoor,T Panyangara,1,35,85,29.8,1072,41.69,Right-hand bat,34,15,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,827,167,PAK,2,69,-225,Khurram Manzoor,T Panyangara,1,35,86,29.8,1072,41.69,Right-hand bat,35,15,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,836,176,PAK,2,73,-221,Khurram Manzoor,T Panyangara,1,35,90,29.8,1072,41.69,Right-hand bat,38,18,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,837,177,PAK,2,73,-221,Khurram Manzoor,T Panyangara,1,35,91,29.8,1072,41.69,Right-hand bat,39,18,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,838,178,PAK,2,73,-221,Khurram Manzoor,T Panyangara,1,35,92,29.8,1072,41.69,Right-hand bat,40,18,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,839,179,PAK,2,73,-221,Khurram Manzoor,T Panyangara,1,35,93,29.8,1072,41.69,Right-hand bat,41,18,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,846,186,PAK,2,77,-217,Khurram Manzoor,T Panyangara,1,35,94,29.8,1072,41.69,Right-hand bat,42,18,1,1062.1,28.52,62.5,rfm,4,ZIM,seam,no,17.43625,6.6137500000000005
2,847,187,PAK,2,81,-213,Khurram Manzoor,T Panyangara,1,39,95,29.8,1072,41.69,Right-hand bat,43,22,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
2,848,188,PAK,2,81,-213,Khurram Manzoor,T Panyangara,1,39,96,29.8,1072,41.69,Right-hand bat,44,22,1,1062.1,28.52,62.5,rfm,0,ZIM,seam,no,17.43625,6.6137500000000005
