innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,969,276,WIN,5,178,-263,D Ramdin,TG Southee,7,2,5,26.37,4335,48.67,Right-hand bat,80,48,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,970,277,WIN,5,178,-263,D Ramdin,TG Southee,7,2,6,26.37,4335,48.67,Right-hand bat,81,48,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,971,278,WIN,5,178,-263,D Ramdin,TG Southee,7,2,7,26.37,4335,48.67,Right-hand bat,82,48,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,972,279,WIN,5,178,-263,D Ramdin,TG Southee,7,2,8,26.37,4335,48.67,Right-hand bat,83,48,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,973,280,WIN,5,178,-263,D Ramdin,TG Southee,7,2,9,26.37,4335,48.67,Right-hand bat,84,48,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,980,287,WIN,7,182,-259,D Ramdin,TG Southee,7,2,10,26.37,4335,48.67,Right-hand bat,85,48,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,981,288,WIN,7,182,-259,D Ramdin,TG Southee,7,2,11,26.37,4335,48.67,Right-hand bat,86,48,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,982,289,WIN,7,182,-259,D Ramdin,TG Southee,7,2,12,26.37,4335,48.67,Right-hand bat,87,48,1,5838,32.81,62.1,rmf,4,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,983,290,WIN,7,186,-255,D Ramdin,TG Southee,7,6,13,26.37,4335,48.67,Right-hand bat,88,52,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,984,291,WIN,7,186,-255,D Ramdin,TG Southee,7,6,14,26.37,4335,48.67,Right-hand bat,89,52,1,5838,32.81,62.1,rmf,2,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,985,292,WIN,7,188,-253,D Ramdin,TG Southee,7,8,15,26.37,4335,48.67,Right-hand bat,90,54,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,992,299,WIN,9,188,-253,D Ramdin,TG Southee,7,8,16,26.37,4335,48.67,Right-hand bat,91,54,1,5838,32.81,62.1,rmf,0,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,993,300,WIN,9,188,-253,D Ramdin,TG Southee,7,8,17,26.37,4335,48.67,Right-hand bat,92,54,1,5838,32.81,62.1,rmf,4,NZL,seam,yes,25.168888888888887,1.7977777777777777
2,994,301,WIN,9,192,-249,D Ramdin,TG Southee,7,12,18,26.37,4335,48.67,Right-hand bat,93,58,1,5838,32.81,62.1,rmf,1lb,NZL,seam,yes,25.168888888888887,1.7977777777777777
