innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,775,224,ENG,3,85,-210,GS Ballance,STR Binny,3,27,80,54.25,893,48.6,Left-hand bat,0,0,0,120,NA,NA,rm,4,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,776,225,ENG,3,89,-206,GS Ballance,STR Binny,3,31,81,54.25,893,48.6,Left-hand bat,1,4,0,120,NA,NA,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,777,226,ENG,3,89,-206,GS Ballance,STR Binny,3,31,82,54.25,893,48.6,Left-hand bat,2,4,0,120,NA,NA,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,778,227,ENG,3,89,-206,GS Ballance,STR Binny,3,31,83,54.25,893,48.6,Left-hand bat,3,4,0,120,NA,NA,rm,1,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,780,229,ENG,3,91,-204,GS Ballance,STR Binny,3,32,84,54.25,893,48.6,Left-hand bat,5,5,0,120,NA,NA,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,787,236,ENG,3,91,-204,GS Ballance,STR Binny,3,32,85,54.25,893,48.6,Left-hand bat,6,5,0,120,NA,NA,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,788,237,ENG,3,91,-204,GS Ballance,STR Binny,3,32,86,54.25,893,48.6,Left-hand bat,7,5,0,120,NA,NA,rm,4,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,789,238,ENG,3,95,-200,GS Ballance,STR Binny,3,36,87,54.25,893,48.6,Left-hand bat,8,9,0,120,NA,NA,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,790,239,ENG,3,95,-200,GS Ballance,STR Binny,3,36,88,54.25,893,48.6,Left-hand bat,9,9,0,120,NA,NA,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,791,240,ENG,3,95,-200,GS Ballance,STR Binny,3,36,89,54.25,893,48.6,Left-hand bat,10,9,0,120,NA,NA,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
2,792,241,ENG,3,95,-200,GS Ballance,STR Binny,3,36,90,54.25,893,48.6,Left-hand bat,11,9,0,120,NA,NA,rm,0,ENG,seam,yes,23.580000000000002,5.8950000000000005
