innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1794,603,IND,9,338,314,I Sharma,MM Ali,11,0,0,9.36,1747,29.47,Right-hand bat,56,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
3,1795,604,IND,9,338,314,I Sharma,MM Ali,11,0,1,9.36,1747,29.47,Right-hand bat,57,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
3,1796,605,IND,9,338,314,I Sharma,MM Ali,11,0,2,9.36,1747,29.47,Right-hand bat,58,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
3,1797,606,IND,9,338,314,I Sharma,MM Ali,11,0,3,9.36,1747,29.47,Right-hand bat,59,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
3,1804,613,IND,9,342,318,I Sharma,MM Ali,11,0,4,9.36,1747,29.47,Right-hand bat,60,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
3,1805,614,IND,9,342,318,I Sharma,MM Ali,11,0,5,9.36,1747,29.47,Right-hand bat,61,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
3,1806,615,IND,9,342,318,I Sharma,MM Ali,11,0,6,9.36,1747,29.47,Right-hand bat,62,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
3,1807,616,IND,9,342,318,I Sharma,MM Ali,11,0,7,9.36,1747,29.47,Right-hand bat,63,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
3,1808,617,IND,9,342,318,I Sharma,MM Ali,11,0,8,9.36,1747,29.47,Right-hand bat,64,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
3,1809,618,IND,9,342,318,I Sharma,MM Ali,11,0,9,9.36,1747,29.47,Right-hand bat,65,28,2,738,44.9,73.8,rob,0,ENG,spin,no,23.580000000000002,5.8950000000000005
