innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,2056,186,IND,3,87,-357,AM Rahane,SCJ Broad,5,2,6,49.92,1221,53.15,Right-hand bat,30,17,0,15282,30.66,59.9,rfm,0,ENG,seam,no,21.34443288241415,20.010405827263266
4,2057,187,IND,3,87,-357,AM Rahane,SCJ Broad,5,2,7,49.92,1221,53.15,Right-hand bat,31,17,0,15282,30.66,59.9,rfm,0,ENG,seam,no,21.34443288241415,20.010405827263266
4,2058,188,IND,3,87,-357,AM Rahane,SCJ Broad,5,2,8,49.92,1221,53.15,Right-hand bat,32,17,0,15282,30.66,59.9,rfm,0,ENG,seam,no,21.34443288241415,20.010405827263266
4,2059,189,IND,3,87,-357,AM Rahane,SCJ Broad,5,2,9,49.92,1221,53.15,Right-hand bat,33,17,0,15282,30.66,59.9,rfm,0,ENG,seam,no,21.34443288241415,20.010405827263266
4,2060,190,IND,3,87,-357,AM Rahane,SCJ Broad,5,2,10,49.92,1221,53.15,Right-hand bat,34,17,0,15282,30.66,59.9,rfm,0,ENG,seam,no,21.34443288241415,20.010405827263266
4,2061,191,IND,3,87,-357,AM Rahane,SCJ Broad,5,2,11,49.92,1221,53.15,Right-hand bat,35,17,0,15282,30.66,59.9,rfm,0,ENG,seam,no,21.34443288241415,20.010405827263266
4,2094,224,IND,4,97,-347,AM Rahane,SCJ Broad,5,7,25,49.92,1221,53.15,Right-hand bat,50,18,0,15282,30.66,59.9,rfm,0,ENG,seam,no,21.34443288241415,20.010405827263266
4,2095,225,IND,4,97,-347,AM Rahane,SCJ Broad,5,7,26,49.92,1221,53.15,Right-hand bat,51,18,0,15282,30.66,59.9,rfm,0,ENG,seam,no,21.34443288241415,20.010405827263266
4,2096,226,IND,4,97,-347,AM Rahane,SCJ Broad,5,7,27,49.92,1221,53.15,Right-hand bat,52,18,0,15282,30.66,59.9,rfm,1lb,ENG,seam,no,21.34443288241415,20.010405827263266
4,2122,252,IND,4,112,-332,AM Rahane,SCJ Broad,5,18,45,49.92,1221,53.15,Right-hand bat,54,18,0,15282,30.66,59.9,rfm,0,ENG,seam,no,21.34443288241415,20.010405827263266
