innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1015,594,ENG,5,311,54,MJ Prior,AD Mathews,6,0,0,41,6588,61.61,Right-hand bat,47,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1016,595,ENG,5,311,54,MJ Prior,AD Mathews,6,0,1,41,6588,61.61,Right-hand bat,48,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1023,602,ENG,5,311,54,MJ Prior,AD Mathews,6,0,2,41,6588,61.61,Right-hand bat,49,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1024,603,ENG,5,311,54,MJ Prior,AD Mathews,6,0,3,41,6588,61.61,Right-hand bat,50,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1025,604,ENG,5,311,54,MJ Prior,AD Mathews,6,0,4,41,6588,61.61,Right-hand bat,51,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1026,605,ENG,5,311,54,MJ Prior,AD Mathews,6,0,5,41,6588,61.61,Right-hand bat,52,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1027,606,ENG,5,311,54,MJ Prior,AD Mathews,6,0,6,41,6588,61.61,Right-hand bat,53,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1028,607,ENG,5,311,54,MJ Prior,AD Mathews,6,0,7,41,6588,61.61,Right-hand bat,54,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1035,614,ENG,6,313,56,MJ Prior,AD Mathews,6,0,8,41,6588,61.61,Right-hand bat,55,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1036,615,ENG,6,313,56,MJ Prior,AD Mathews,6,0,9,41,6588,61.61,Right-hand bat,56,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1037,616,ENG,6,313,56,MJ Prior,AD Mathews,6,0,10,41,6588,61.61,Right-hand bat,57,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1038,617,ENG,6,313,56,MJ Prior,AD Mathews,6,0,11,41,6588,61.61,Right-hand bat,58,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1039,618,ENG,6,313,56,MJ Prior,AD Mathews,6,0,12,41,6588,61.61,Right-hand bat,59,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1040,619,ENG,6,313,56,MJ Prior,AD Mathews,6,0,13,41,6588,61.61,Right-hand bat,60,29,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1071,650,ENG,6,327,70,MJ Prior,AD Mathews,6,3,26,41,6588,61.61,Right-hand bat,67,34,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1072,651,ENG,6,327,70,MJ Prior,AD Mathews,6,3,27,41,6588,61.61,Right-hand bat,68,34,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1073,652,ENG,6,327,70,MJ Prior,AD Mathews,6,3,28,41,6588,61.61,Right-hand bat,69,34,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1074,653,ENG,6,327,70,MJ Prior,AD Mathews,6,3,29,41,6588,61.61,Right-hand bat,70,34,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1075,654,ENG,6,327,70,MJ Prior,AD Mathews,6,3,30,41,6588,61.61,Right-hand bat,71,34,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1076,655,ENG,6,327,70,MJ Prior,AD Mathews,6,3,31,41,6588,61.61,Right-hand bat,72,34,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1084,663,ENG,6,334,77,MJ Prior,AD Mathews,6,4,33,41,6588,61.61,Right-hand bat,73,34,2,2154,60.66,119.6,rm,1,ENG,seam,yes,28.220000000000006,4.98
2,1088,667,ENG,6,336,79,MJ Prior,AD Mathews,6,5,34,41,6588,61.61,Right-hand bat,77,36,2,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1089,668,ENG,6,336,79,MJ Prior,AD Mathews,6,5,35,41,6588,61.61,Right-hand bat,78,36,2,2154,60.66,119.6,rm,1,ENG,seam,yes,28.220000000000006,4.98
2,1097,676,ENG,7,343,86,MJ Prior,AD Mathews,6,7,37,41,6588,61.61,Right-hand bat,79,37,2,2154,60.66,119.6,rm,1,ENG,seam,yes,28.220000000000006,4.98
2,1109,688,ENG,8,349,92,MJ Prior,AD Mathews,6,11,40,41,6588,61.61,Right-hand bat,85,38,3,2154,60.66,119.6,rm,1,ENG,seam,yes,28.220000000000006,4.98
2,1121,700,ENG,9,351,94,MJ Prior,AD Mathews,6,13,45,41,6588,61.61,Right-hand bat,91,39,4,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1122,701,ENG,9,351,94,MJ Prior,AD Mathews,6,13,46,41,6588,61.61,Right-hand bat,92,39,4,2154,60.66,119.6,rm,4,ENG,seam,yes,28.220000000000006,4.98
2,1123,702,ENG,9,355,98,MJ Prior,AD Mathews,6,17,47,41,6588,61.61,Right-hand bat,93,43,4,2154,60.66,119.6,rm,0,ENG,seam,yes,28.220000000000006,4.98
2,1124,703,ENG,9,355,98,MJ Prior,AD Mathews,6,17,48,41,6588,61.61,Right-hand bat,94,43,4,2154,60.66,119.6,rm,1,ENG,seam,yes,28.220000000000006,4.98
