innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,2184,344,NZL,2,150,118,LRPL Taylor,Abdur Razzak,4,0,0,42.69,6224,57.61,Right-hand bat,91,30,0,2652.3,68.95,126.4,lo,1,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2199,359,NZL,2,158,126,LRPL Taylor,Abdur Razzak,4,2,6,42.69,6224,57.61,Right-hand bat,100,36,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2200,360,NZL,2,158,126,LRPL Taylor,Abdur Razzak,4,2,7,42.69,6224,57.61,Right-hand bat,101,36,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2207,367,NZL,2,164,132,LRPL Taylor,Abdur Razzak,4,5,12,42.69,6224,57.61,Right-hand bat,102,36,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2208,368,NZL,2,164,132,LRPL Taylor,Abdur Razzak,4,5,13,42.69,6224,57.61,Right-hand bat,103,36,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2209,369,NZL,2,164,132,LRPL Taylor,Abdur Razzak,4,5,14,42.69,6224,57.61,Right-hand bat,104,36,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2210,370,NZL,2,164,132,LRPL Taylor,Abdur Razzak,4,5,15,42.69,6224,57.61,Right-hand bat,105,36,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2211,371,NZL,2,164,132,LRPL Taylor,Abdur Razzak,4,5,16,42.69,6224,57.61,Right-hand bat,106,36,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2212,372,NZL,2,164,132,LRPL Taylor,Abdur Razzak,4,5,17,42.69,6224,57.61,Right-hand bat,107,36,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2220,380,NZL,2,172,140,LRPL Taylor,Abdur Razzak,4,8,22,42.69,6224,57.61,Right-hand bat,109,37,0,2652.3,68.95,126.4,lo,1,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2222,382,NZL,2,174,142,LRPL Taylor,Abdur Razzak,4,9,23,42.69,6224,57.61,Right-hand bat,111,39,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2223,383,NZL,2,174,142,LRPL Taylor,Abdur Razzak,4,9,24,42.69,6224,57.61,Right-hand bat,112,39,0,2652.3,68.95,126.4,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2224,384,NZL,2,174,142,LRPL Taylor,Abdur Razzak,4,9,25,42.69,6224,57.61,Right-hand bat,113,39,0,2652.3,68.95,126.4,lo,4,BAN,spin,yes,12.71111111111111,34.95555555555555
