innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1924,84,NZL,0,46,14,PG Fulton,Shakib Al Hasan,1,15,47,31.88,2031,40.81,Right-hand bat,0,0,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1925,85,NZL,0,46,14,PG Fulton,Shakib Al Hasan,1,15,48,31.88,2031,40.81,Right-hand bat,1,0,0,7440,33.18,68.8,lo,1,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1929,89,NZL,0,48,16,PG Fulton,Shakib Al Hasan,1,16,49,31.88,2031,40.81,Right-hand bat,5,2,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1936,96,NZL,1,48,16,PG Fulton,Shakib Al Hasan,1,16,50,31.88,2031,40.81,Right-hand bat,6,2,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1937,97,NZL,1,48,16,PG Fulton,Shakib Al Hasan,1,16,51,31.88,2031,40.81,Right-hand bat,7,2,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1938,98,NZL,1,48,16,PG Fulton,Shakib Al Hasan,1,16,52,31.88,2031,40.81,Right-hand bat,8,2,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1939,99,NZL,1,48,16,PG Fulton,Shakib Al Hasan,1,16,53,31.88,2031,40.81,Right-hand bat,9,2,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1940,100,NZL,1,48,16,PG Fulton,Shakib Al Hasan,1,16,54,31.88,2031,40.81,Right-hand bat,10,2,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1941,101,NZL,1,48,16,PG Fulton,Shakib Al Hasan,1,16,55,31.88,2031,40.81,Right-hand bat,11,2,0,7440,33.18,68.8,lo,1,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1952,112,NZL,1,54,22,PG Fulton,Shakib Al Hasan,1,17,62,31.88,2031,40.81,Right-hand bat,16,4,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1953,113,NZL,1,54,22,PG Fulton,Shakib Al Hasan,1,17,63,31.88,2031,40.81,Right-hand bat,17,4,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1975,135,NZL,1,62,30,PG Fulton,Shakib Al Hasan,1,18,72,31.88,2031,40.81,Right-hand bat,27,5,0,7440,33.18,68.8,lo,2,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1976,136,NZL,1,64,32,PG Fulton,Shakib Al Hasan,1,20,73,31.88,2031,40.81,Right-hand bat,28,7,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1977,137,NZL,1,64,32,PG Fulton,Shakib Al Hasan,1,20,74,31.88,2031,40.81,Right-hand bat,29,7,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1985,145,NZL,1,70,38,PG Fulton,Shakib Al Hasan,1,22,80,31.88,2031,40.81,Right-hand bat,31,8,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1986,146,NZL,1,70,38,PG Fulton,Shakib Al Hasan,1,22,81,31.88,2031,40.81,Right-hand bat,32,8,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1987,147,NZL,1,70,38,PG Fulton,Shakib Al Hasan,1,22,82,31.88,2031,40.81,Right-hand bat,33,8,0,7440,33.18,68.8,lo,1,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1998,158,NZL,1,72,40,PG Fulton,Shakib Al Hasan,1,23,89,31.88,2031,40.81,Right-hand bat,38,10,0,7440,33.18,68.8,lo,4b,BAN,spin,yes,12.71111111111111,34.95555555555555
3,1999,159,NZL,1,76,44,PG Fulton,Shakib Al Hasan,1,23,90,31.88,2031,40.81,Right-hand bat,39,10,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2000,160,NZL,1,76,44,PG Fulton,Shakib Al Hasan,1,23,91,31.88,2031,40.81,Right-hand bat,40,10,0,7440,33.18,68.8,lo,1,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2011,171,NZL,1,80,48,PG Fulton,Shakib Al Hasan,1,24,98,31.88,2031,40.81,Right-hand bat,45,14,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2012,172,NZL,1,80,48,PG Fulton,Shakib Al Hasan,1,24,99,31.88,2031,40.81,Right-hand bat,46,14,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2013,173,NZL,1,80,48,PG Fulton,Shakib Al Hasan,1,24,100,31.88,2031,40.81,Right-hand bat,47,14,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2020,180,NZL,1,84,52,PG Fulton,Shakib Al Hasan,1,24,101,31.88,2031,40.81,Right-hand bat,48,14,0,7440,33.18,68.8,lo,0,BAN,spin,yes,12.71111111111111,34.95555555555555
3,2021,181,NZL,1,84,52,PG Fulton,Shakib Al Hasan,1,24,102,31.88,2031,40.81,Right-hand bat,49,14,0,7440,33.18,68.8,lo,1,BAN,spin,yes,12.71111111111111,34.95555555555555
