innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,591,259,IND,2,199,17,SR Tendulkar,N Deonarine,3,65,103,53.78,NA,NA,Right-hand bat,0,0,0,1230.5,27.42,58.8,rob,0,IND,spin,yes,5.760000000000001,23.040000000000003
2,592,260,IND,2,199,17,SR Tendulkar,N Deonarine,3,65,104,53.78,NA,NA,Right-hand bat,1,0,0,1230.5,27.42,58.8,rob,2,IND,spin,yes,5.760000000000001,23.040000000000003
2,593,261,IND,2,201,19,SR Tendulkar,N Deonarine,3,67,105,53.78,NA,NA,Right-hand bat,2,2,0,1230.5,27.42,58.8,rob,0,IND,spin,yes,5.760000000000001,23.040000000000003
2,594,262,IND,2,201,19,SR Tendulkar,N Deonarine,3,67,106,53.78,NA,NA,Right-hand bat,3,2,0,1230.5,27.42,58.8,rob,0,IND,spin,yes,5.760000000000001,23.040000000000003
2,595,263,IND,2,201,19,SR Tendulkar,N Deonarine,3,67,107,53.78,NA,NA,Right-hand bat,4,2,0,1230.5,27.42,58.8,rob,0,IND,spin,yes,5.760000000000001,23.040000000000003
2,596,264,IND,2,201,19,SR Tendulkar,N Deonarine,3,67,108,53.78,NA,NA,Right-hand bat,5,2,0,1230.5,27.42,58.8,rob,0,IND,spin,yes,5.760000000000001,23.040000000000003
2,608,276,IND,2,213,31,SR Tendulkar,N Deonarine,3,71,111,53.78,NA,NA,Right-hand bat,11,7,0,1230.5,27.42,58.8,rob,0,IND,spin,yes,5.760000000000001,23.040000000000003
2,616,284,IND,2,217,35,SR Tendulkar,N Deonarine,3,71,115,53.78,NA,NA,Right-hand bat,13,8,0,1230.5,27.42,58.8,rob,2,IND,spin,yes,5.760000000000001,23.040000000000003
2,617,285,IND,2,219,37,SR Tendulkar,N Deonarine,3,73,116,53.78,NA,NA,Right-hand bat,14,10,0,1230.5,27.42,58.8,rob,1,IND,spin,yes,5.760000000000001,23.040000000000003
2,619,287,IND,2,221,39,SR Tendulkar,N Deonarine,3,74,117,53.78,NA,NA,Right-hand bat,16,12,0,1230.5,27.42,58.8,rob,W,IND,spin,yes,5.760000000000001,23.040000000000003
