innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,913,308,RSA,3,157,-172,HM Amla,ST Gabriel,4,21,63,52.78,13093,51.6,Right-hand bat,47,24,0,1602.3,37.32,64.2,rf,2,RSA,seam,no,18.0791015625,15.9521484375
2,914,309,RSA,3,159,-170,HM Amla,ST Gabriel,4,23,64,52.78,13093,51.6,Right-hand bat,48,26,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,915,310,RSA,3,159,-170,HM Amla,ST Gabriel,4,23,65,52.78,13093,51.6,Right-hand bat,49,26,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,916,311,RSA,3,159,-170,HM Amla,ST Gabriel,4,23,66,52.78,13093,51.6,Right-hand bat,50,26,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,917,312,RSA,3,159,-170,HM Amla,ST Gabriel,4,23,67,52.78,13093,51.6,Right-hand bat,51,26,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,918,313,RSA,3,159,-170,HM Amla,ST Gabriel,4,23,68,52.78,13093,51.6,Right-hand bat,52,26,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,925,320,RSA,3,161,-168,HM Amla,ST Gabriel,4,24,71,52.78,13093,51.6,Right-hand bat,53,26,0,1602.3,37.32,64.2,rf,4,RSA,seam,no,18.0791015625,15.9521484375
2,926,321,RSA,3,165,-164,HM Amla,ST Gabriel,4,28,72,52.78,13093,51.6,Right-hand bat,54,30,0,1602.3,37.32,64.2,rf,1,RSA,seam,no,18.0791015625,15.9521484375
2,942,337,RSA,3,174,-155,HM Amla,ST Gabriel,4,33,78,52.78,13093,51.6,Right-hand bat,64,34,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,943,338,RSA,3,174,-155,HM Amla,ST Gabriel,4,33,79,52.78,13093,51.6,Right-hand bat,65,34,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,955,350,RSA,3,179,-150,HM Amla,ST Gabriel,4,33,83,52.78,13093,51.6,Right-hand bat,71,36,0,1602.3,37.32,64.2,rf,1,RSA,seam,no,18.0791015625,15.9521484375
2,964,359,RSA,3,183,-146,HM Amla,ST Gabriel,4,35,88,52.78,13093,51.6,Right-hand bat,74,38,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,965,360,RSA,3,183,-146,HM Amla,ST Gabriel,4,35,89,52.78,13093,51.6,Right-hand bat,75,38,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,966,361,RSA,3,183,-146,HM Amla,ST Gabriel,4,35,90,52.78,13093,51.6,Right-hand bat,76,38,0,1602.3,37.32,64.2,rf,0,RSA,seam,no,18.0791015625,15.9521484375
2,967,362,RSA,3,183,-146,HM Amla,ST Gabriel,4,35,91,52.78,13093,51.6,Right-hand bat,77,38,0,1602.3,37.32,64.2,rf,1,RSA,seam,no,18.0791015625,15.9521484375
