innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1518,162,WIN,2,57,-35,MN Samuels,DW Steyn,4,13,41,35.72,6643,48.93,Right-hand bat,36,11,0,16482.4,22.55,41.6,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1519,163,WIN,2,57,-35,MN Samuels,DW Steyn,4,13,42,35.72,6643,48.93,Right-hand bat,37,11,0,16482.4,22.55,41.6,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1520,164,WIN,2,57,-35,MN Samuels,DW Steyn,4,13,43,35.72,6643,48.93,Right-hand bat,38,11,0,16482.4,22.55,41.6,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1521,165,WIN,2,57,-35,MN Samuels,DW Steyn,4,13,44,35.72,6643,48.93,Right-hand bat,39,11,0,16482.4,22.55,41.6,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1522,166,WIN,2,57,-35,MN Samuels,DW Steyn,4,13,45,35.72,6643,48.93,Right-hand bat,40,11,0,16482.4,22.55,41.6,rf,1,RSA,seam,yes,18.0791015625,15.9521484375
3,1532,176,WIN,2,67,-25,MN Samuels,DW Steyn,4,20,51,35.72,6643,48.93,Right-hand bat,44,14,0,16482.4,22.55,41.6,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1533,177,WIN,2,67,-25,MN Samuels,DW Steyn,4,20,52,35.72,6643,48.93,Right-hand bat,45,14,0,16482.4,22.55,41.6,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1534,178,WIN,2,67,-25,MN Samuels,DW Steyn,4,20,53,35.72,6643,48.93,Right-hand bat,46,14,0,16482.4,22.55,41.6,rf,4,RSA,seam,yes,18.0791015625,15.9521484375
3,1535,179,WIN,2,71,-21,MN Samuels,DW Steyn,4,24,54,35.72,6643,48.93,Right-hand bat,47,18,0,16482.4,22.55,41.6,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
3,1542,186,WIN,2,71,-21,MN Samuels,DW Steyn,4,24,55,35.72,6643,48.93,Right-hand bat,48,18,0,16482.4,22.55,41.6,rf,1,RSA,seam,yes,18.0791015625,15.9521484375
3,1554,198,WIN,2,79,-13,MN Samuels,DW Steyn,4,25,56,35.72,6643,48.93,Right-hand bat,54,22,0,16482.4,22.55,41.6,rf,1,RSA,seam,yes,18.0791015625,15.9521484375
3,1571,215,WIN,2,95,3,MN Samuels,DW Steyn,4,26,63,35.72,6643,48.93,Right-hand bat,65,38,0,16482.4,22.55,41.6,rf,0,RSA,seam,yes,18.0791015625,15.9521484375
