innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1138,139,SRL,1,64,-391,KC Sangakkara,M Morkel,3,12,11,58.55,21411,54.14,Left-hand bat,18,4,0,11160.2,30.27,56.9,rf,3,SRL,seam,no,19.085714285714285,14.314285714285715
2,1150,151,SRL,1,72,-383,KC Sangakkara,M Morkel,3,16,13,58.55,21411,54.14,Left-hand bat,24,7,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1151,152,SRL,1,72,-383,KC Sangakkara,M Morkel,3,16,14,58.55,21411,54.14,Left-hand bat,25,7,0,11160.2,30.27,56.9,rf,1,SRL,seam,no,19.085714285714285,14.314285714285715
2,1154,155,SRL,1,74,-381,KC Sangakkara,M Morkel,3,17,15,58.55,21411,54.14,Left-hand bat,28,8,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1155,156,SRL,1,74,-381,KC Sangakkara,M Morkel,3,17,16,58.55,21411,54.14,Left-hand bat,29,8,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1162,163,SRL,1,82,-373,KC Sangakkara,M Morkel,3,17,17,58.55,21411,54.14,Left-hand bat,30,8,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1163,164,SRL,1,82,-373,KC Sangakkara,M Morkel,3,17,18,58.55,21411,54.14,Left-hand bat,31,8,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1164,165,SRL,1,82,-373,KC Sangakkara,M Morkel,3,17,19,58.55,21411,54.14,Left-hand bat,32,8,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1165,166,SRL,1,82,-373,KC Sangakkara,M Morkel,3,17,20,58.55,21411,54.14,Left-hand bat,33,8,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1166,167,SRL,1,82,-373,KC Sangakkara,M Morkel,3,17,21,58.55,21411,54.14,Left-hand bat,34,8,0,11160.2,30.27,56.9,rf,4,SRL,seam,no,19.085714285714285,14.314285714285715
2,1167,168,SRL,1,86,-369,KC Sangakkara,M Morkel,3,21,22,58.55,21411,54.14,Left-hand bat,35,12,0,11160.2,30.27,56.9,rf,1,SRL,seam,no,19.085714285714285,14.314285714285715
2,1174,175,SRL,1,92,-363,KC Sangakkara,M Morkel,3,23,25,58.55,21411,54.14,Left-hand bat,36,13,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1175,176,SRL,1,92,-363,KC Sangakkara,M Morkel,3,23,26,58.55,21411,54.14,Left-hand bat,37,13,0,11160.2,30.27,56.9,rf,1,SRL,seam,no,19.085714285714285,14.314285714285715
2,1179,180,SRL,1,94,-361,KC Sangakkara,M Morkel,3,24,27,58.55,21411,54.14,Left-hand bat,41,15,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1186,187,SRL,1,98,-357,KC Sangakkara,M Morkel,3,24,28,58.55,21411,54.14,Left-hand bat,42,15,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1187,188,SRL,1,98,-357,KC Sangakkara,M Morkel,3,24,29,58.55,21411,54.14,Left-hand bat,43,15,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1188,189,SRL,1,98,-357,KC Sangakkara,M Morkel,3,24,30,58.55,21411,54.14,Left-hand bat,44,15,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1189,190,SRL,1,98,-357,KC Sangakkara,M Morkel,3,24,31,58.55,21411,54.14,Left-hand bat,45,15,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1190,191,SRL,1,98,-357,KC Sangakkara,M Morkel,3,24,32,58.55,21411,54.14,Left-hand bat,46,15,0,11160.2,30.27,56.9,rf,0,SRL,seam,no,19.085714285714285,14.314285714285715
2,1191,192,SRL,1,98,-357,KC Sangakkara,M Morkel,3,24,33,58.55,21411,54.14,Left-hand bat,47,15,0,11160.2,30.27,56.9,rf,W,SRL,seam,no,19.085714285714285,14.314285714285715
