innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,397,397,NZL,8,258,258,N Wagner,JO Holder,10,0,0,12.25,519,37.76,Left-hand bat,48,19,0,120,25,60,rmf,0,WIN,seam,yes,23.56829802775749,8.728999269539809
1,398,398,NZL,8,258,258,N Wagner,JO Holder,10,0,1,12.25,519,37.76,Left-hand bat,49,19,0,120,25,60,rmf,0,WIN,seam,yes,23.56829802775749,8.728999269539809
1,399,399,NZL,8,258,258,N Wagner,JO Holder,10,0,2,12.25,519,37.76,Left-hand bat,50,19,0,120,25,60,rmf,0,WIN,seam,yes,23.56829802775749,8.728999269539809
1,400,400,NZL,8,258,258,N Wagner,JO Holder,10,0,3,12.25,519,37.76,Left-hand bat,51,19,0,120,25,60,rmf,1,WIN,seam,yes,23.56829802775749,8.728999269539809
1,410,410,NZL,8,270,270,N Wagner,JO Holder,10,1,5,12.25,519,37.76,Left-hand bat,55,22,0,120,25,60,rmf,1nb,WIN,seam,yes,23.56829802775749,8.728999269539809
1,411,411,NZL,8,271,271,N Wagner,JO Holder,10,1,6,12.25,519,37.76,Left-hand bat,56,23,0,120,25,60,rmf,0,WIN,seam,yes,23.56829802775749,8.728999269539809
1,412,412,NZL,8,271,271,N Wagner,JO Holder,10,1,7,12.25,519,37.76,Left-hand bat,57,23,0,120,25,60,rmf,0,WIN,seam,yes,23.56829802775749,8.728999269539809
1,413,413,NZL,8,271,271,N Wagner,JO Holder,10,1,8,12.25,519,37.76,Left-hand bat,58,23,0,120,25,60,rmf,0,WIN,seam,yes,23.56829802775749,8.728999269539809
1,414,414,NZL,8,271,271,N Wagner,JO Holder,10,1,9,12.25,519,37.76,Left-hand bat,59,23,0,120,25,60,rmf,0,WIN,seam,yes,23.56829802775749,8.728999269539809
1,415,415,NZL,8,271,271,N Wagner,JO Holder,10,1,10,12.25,519,37.76,Left-hand bat,60,23,0,120,25,60,rmf,1nb,WIN,seam,yes,23.56829802775749,8.728999269539809
1,416,416,NZL,8,272,272,N Wagner,JO Holder,10,1,11,12.25,519,37.76,Left-hand bat,61,24,0,120,25,60,rmf,0,WIN,seam,yes,23.56829802775749,8.728999269539809
