innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,623,92,IND,1,32,-268,CA Pujara,NM Lyon,3,6,17,51.32,7933,47.87,Right-hand bat,14,7,0,15564.1,33.39,63,rob,1,IND,spin,no,11.1083984375,16.2353515625
2,633,102,IND,1,34,-266,CA Pujara,NM Lyon,3,8,20,51.32,7933,47.87,Right-hand bat,18,8,0,15564.1,33.39,63,rob,1,IND,spin,no,11.1083984375,16.2353515625
2,645,114,IND,1,46,-254,CA Pujara,NM Lyon,3,10,22,51.32,7933,47.87,Right-hand bat,24,15,0,15564.1,33.39,63,rob,2,IND,spin,no,11.1083984375,16.2353515625
2,646,115,IND,1,48,-252,CA Pujara,NM Lyon,3,12,23,51.32,7933,47.87,Right-hand bat,25,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,647,116,IND,1,48,-252,CA Pujara,NM Lyon,3,12,24,51.32,7933,47.87,Right-hand bat,26,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,648,117,IND,1,48,-252,CA Pujara,NM Lyon,3,12,25,51.32,7933,47.87,Right-hand bat,27,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,649,118,IND,1,48,-252,CA Pujara,NM Lyon,3,12,26,51.32,7933,47.87,Right-hand bat,28,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,650,119,IND,1,48,-252,CA Pujara,NM Lyon,3,12,27,51.32,7933,47.87,Right-hand bat,29,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,657,126,IND,1,52,-248,CA Pujara,NM Lyon,3,12,28,51.32,7933,47.87,Right-hand bat,30,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,658,127,IND,1,52,-248,CA Pujara,NM Lyon,3,12,29,51.32,7933,47.87,Right-hand bat,31,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,659,128,IND,1,52,-248,CA Pujara,NM Lyon,3,12,30,51.32,7933,47.87,Right-hand bat,32,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,660,129,IND,1,52,-248,CA Pujara,NM Lyon,3,12,31,51.32,7933,47.87,Right-hand bat,33,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,661,130,IND,1,52,-248,CA Pujara,NM Lyon,3,12,32,51.32,7933,47.87,Right-hand bat,34,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,662,131,IND,1,52,-248,CA Pujara,NM Lyon,3,12,33,51.32,7933,47.87,Right-hand bat,35,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,669,138,IND,1,52,-248,CA Pujara,NM Lyon,3,12,34,51.32,7933,47.87,Right-hand bat,36,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,670,139,IND,1,52,-248,CA Pujara,NM Lyon,3,12,35,51.32,7933,47.87,Right-hand bat,37,17,0,15564.1,33.39,63,rob,0,IND,spin,no,11.1083984375,16.2353515625
2,671,140,IND,1,52,-248,CA Pujara,NM Lyon,3,12,36,51.32,7933,47.87,Right-hand bat,38,17,0,15564.1,33.39,63,rob,1,IND,spin,no,11.1083984375,16.2353515625
