innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,504,504,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,2,7.5,81,18.51,Right-hand bat,88,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,505,505,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,3,7.5,81,18.51,Right-hand bat,89,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,506,506,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,4,7.5,81,18.51,Right-hand bat,90,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,507,507,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,5,7.5,81,18.51,Right-hand bat,91,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,514,514,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,6,7.5,81,18.51,Right-hand bat,92,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,515,515,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,7,7.5,81,18.51,Right-hand bat,93,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,516,516,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,8,7.5,81,18.51,Right-hand bat,94,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,517,517,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,9,7.5,81,18.51,Right-hand bat,95,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,518,518,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,10,7.5,81,18.51,Right-hand bat,96,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,519,519,ZIM,9,247,247,J Nyumbu,VD Philander,11,0,11,7.5,81,18.51,Right-hand bat,97,42,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,542,542,ZIM,9,253,253,J Nyumbu,VD Philander,11,0,20,7.5,81,18.51,Right-hand bat,102,47,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,543,543,ZIM,9,253,253,J Nyumbu,VD Philander,11,0,21,7.5,81,18.51,Right-hand bat,103,47,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,550,550,ZIM,9,253,253,J Nyumbu,VD Philander,11,0,22,7.5,81,18.51,Right-hand bat,104,47,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,551,551,ZIM,9,253,253,J Nyumbu,VD Philander,11,0,23,7.5,81,18.51,Right-hand bat,105,47,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,552,552,ZIM,9,253,253,J Nyumbu,VD Philander,11,0,24,7.5,81,18.51,Right-hand bat,106,47,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,553,553,ZIM,9,253,253,J Nyumbu,VD Philander,11,0,25,7.5,81,18.51,Right-hand bat,107,47,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,554,554,ZIM,9,253,253,J Nyumbu,VD Philander,11,0,26,7.5,81,18.51,Right-hand bat,108,47,1,5262.5,21.57,45.8,rfm,0,ZIM,seam,yes,14.618106139438087,13.704474505723207
1,555,555,ZIM,9,253,253,J Nyumbu,VD Philander,11,0,27,7.5,81,18.51,Right-hand bat,109,47,1,5262.5,21.57,45.8,rfm,2,ZIM,seam,yes,14.618106139438087,13.704474505723207
