innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1678,50,PAK,3,24,-315,Misbah-ul-Haq,TA Boult,5,0,0,49.15,8673,43.07,Right-hand bat,25,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1679,51,PAK,3,24,-315,Misbah-ul-Haq,TA Boult,5,0,1,49.15,8673,43.07,Right-hand bat,26,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1680,52,PAK,3,24,-315,Misbah-ul-Haq,TA Boult,5,0,2,49.15,8673,43.07,Right-hand bat,27,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1681,53,PAK,3,24,-315,Misbah-ul-Haq,TA Boult,5,0,3,49.15,8673,43.07,Right-hand bat,28,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1682,54,PAK,3,24,-315,Misbah-ul-Haq,TA Boult,5,0,4,49.15,8673,43.07,Right-hand bat,29,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1689,61,PAK,3,26,-313,Misbah-ul-Haq,TA Boult,5,1,9,49.15,8673,43.07,Right-hand bat,30,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1690,62,PAK,3,26,-313,Misbah-ul-Haq,TA Boult,5,1,10,49.15,8673,43.07,Right-hand bat,31,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1691,63,PAK,3,26,-313,Misbah-ul-Haq,TA Boult,5,1,11,49.15,8673,43.07,Right-hand bat,32,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1692,64,PAK,3,26,-313,Misbah-ul-Haq,TA Boult,5,1,12,49.15,8673,43.07,Right-hand bat,33,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1693,65,PAK,3,26,-313,Misbah-ul-Haq,TA Boult,5,1,13,49.15,8673,43.07,Right-hand bat,34,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1694,66,PAK,3,26,-313,Misbah-ul-Haq,TA Boult,5,1,14,49.15,8673,43.07,Right-hand bat,35,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1701,73,PAK,3,30,-309,Misbah-ul-Haq,TA Boult,5,1,15,49.15,8673,43.07,Right-hand bat,36,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1702,74,PAK,3,30,-309,Misbah-ul-Haq,TA Boult,5,1,16,49.15,8673,43.07,Right-hand bat,37,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1703,75,PAK,3,30,-309,Misbah-ul-Haq,TA Boult,5,1,17,49.15,8673,43.07,Right-hand bat,38,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1704,76,PAK,3,30,-309,Misbah-ul-Haq,TA Boult,5,1,18,49.15,8673,43.07,Right-hand bat,39,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1705,77,PAK,3,30,-309,Misbah-ul-Haq,TA Boult,5,1,19,49.15,8673,43.07,Right-hand bat,40,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1706,78,PAK,3,30,-309,Misbah-ul-Haq,TA Boult,5,1,20,49.15,8673,43.07,Right-hand bat,41,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1713,85,PAK,4,36,-303,Misbah-ul-Haq,TA Boult,5,1,21,49.15,8673,43.07,Right-hand bat,42,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1714,86,PAK,4,36,-303,Misbah-ul-Haq,TA Boult,5,1,22,49.15,8673,43.07,Right-hand bat,43,15,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1715,87,PAK,4,36,-303,Misbah-ul-Haq,TA Boult,5,1,23,49.15,8673,43.07,Right-hand bat,44,15,3,5724.4,27.85,57.8,lfm,4,NZL,seam,yes,13,30.333333333333332
3,1716,88,PAK,4,40,-299,Misbah-ul-Haq,TA Boult,5,5,24,49.15,8673,43.07,Right-hand bat,45,19,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1717,89,PAK,4,40,-299,Misbah-ul-Haq,TA Boult,5,5,25,49.15,8673,43.07,Right-hand bat,46,19,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
3,1718,90,PAK,4,40,-299,Misbah-ul-Haq,TA Boult,5,5,26,49.15,8673,43.07,Right-hand bat,47,19,3,5724.4,27.85,57.8,lfm,0,NZL,seam,yes,13,30.333333333333332
