innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,108,108,PAK,2,47,47,Azhar Ali,MDK Perera,3,26,49,39.01,5764,39.26,Right-hand bat,0,0,0,1998.1,28.64,58.7,rob,0,SRL,spin,yes,12.333984375,27.134765625
1,109,109,PAK,2,47,47,Azhar Ali,MDK Perera,3,26,50,39.01,5764,39.26,Right-hand bat,1,0,0,1998.1,28.64,58.7,rob,0,SRL,spin,yes,12.333984375,27.134765625
1,110,110,PAK,2,47,47,Azhar Ali,MDK Perera,3,26,51,39.01,5764,39.26,Right-hand bat,2,0,0,1998.1,28.64,58.7,rob,0,SRL,spin,yes,12.333984375,27.134765625
1,111,111,PAK,2,47,47,Azhar Ali,MDK Perera,3,26,52,39.01,5764,39.26,Right-hand bat,3,0,0,1998.1,28.64,58.7,rob,0,SRL,spin,yes,12.333984375,27.134765625
1,112,112,PAK,2,47,47,Azhar Ali,MDK Perera,3,26,53,39.01,5764,39.26,Right-hand bat,4,0,0,1998.1,28.64,58.7,rob,0,SRL,spin,yes,12.333984375,27.134765625
1,113,113,PAK,2,47,47,Azhar Ali,MDK Perera,3,26,54,39.01,5764,39.26,Right-hand bat,5,0,0,1998.1,28.64,58.7,rob,0,SRL,spin,yes,12.333984375,27.134765625
1,122,122,PAK,2,51,51,Azhar Ali,MDK Perera,3,26,60,39.01,5764,39.26,Right-hand bat,8,1,0,1998.1,28.64,58.7,rob,0,SRL,spin,yes,12.333984375,27.134765625
1,123,123,PAK,2,51,51,Azhar Ali,MDK Perera,3,26,61,39.01,5764,39.26,Right-hand bat,9,1,0,1998.1,28.64,58.7,rob,0,SRL,spin,yes,12.333984375,27.134765625
1,124,124,PAK,2,51,51,Azhar Ali,MDK Perera,3,26,62,39.01,5764,39.26,Right-hand bat,10,1,0,1998.1,28.64,58.7,rob,4,SRL,spin,yes,12.333984375,27.134765625
1,125,125,PAK,2,55,55,Azhar Ali,MDK Perera,3,30,63,39.01,5764,39.26,Right-hand bat,11,5,0,1998.1,28.64,58.7,rob,0,SRL,spin,yes,12.333984375,27.134765625
