innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1781,935,SRL,7,496,45,KTGD Prasad,Abdur Rehman,9,13,17,17,484,63.22,Right-hand bat,208,108,0,6564.1,28.75,68.3,lo,1,SRL,spin,no,12.333984375,27.134765625
2,1789,943,SRL,7,506,55,KTGD Prasad,Abdur Rehman,9,14,18,17,484,63.22,Right-hand bat,210,110,0,6564.1,28.75,68.3,lo,0,SRL,spin,no,12.333984375,27.134765625
2,1790,944,SRL,7,506,55,KTGD Prasad,Abdur Rehman,9,14,19,17,484,63.22,Right-hand bat,211,110,0,6564.1,28.75,68.3,lo,1,SRL,spin,no,12.333984375,27.134765625
2,1793,947,SRL,7,508,57,KTGD Prasad,Abdur Rehman,9,15,20,17,484,63.22,Right-hand bat,214,112,0,6564.1,28.75,68.3,lo,0,SRL,spin,no,12.333984375,27.134765625
2,1794,948,SRL,7,508,57,KTGD Prasad,Abdur Rehman,9,15,21,17,484,63.22,Right-hand bat,215,112,0,6564.1,28.75,68.3,lo,0,SRL,spin,no,12.333984375,27.134765625
2,1813,967,SRL,8,516,65,KTGD Prasad,Abdur Rehman,9,15,23,17,484,63.22,Right-hand bat,222,113,1,6564.1,28.75,68.3,lo,0,SRL,spin,no,12.333984375,27.134765625
2,1814,968,SRL,8,516,65,KTGD Prasad,Abdur Rehman,9,15,24,17,484,63.22,Right-hand bat,223,113,1,6564.1,28.75,68.3,lo,0,SRL,spin,no,12.333984375,27.134765625
2,1815,969,SRL,8,516,65,KTGD Prasad,Abdur Rehman,9,15,25,17,484,63.22,Right-hand bat,224,113,1,6564.1,28.75,68.3,lo,0,SRL,spin,no,12.333984375,27.134765625
2,1816,970,SRL,8,516,65,KTGD Prasad,Abdur Rehman,9,15,26,17,484,63.22,Right-hand bat,225,113,1,6564.1,28.75,68.3,lo,6,SRL,spin,no,12.333984375,27.134765625
2,1817,971,SRL,8,522,71,KTGD Prasad,Abdur Rehman,9,21,27,17,484,63.22,Right-hand bat,226,119,1,6564.1,28.75,68.3,lo,0,SRL,spin,no,12.333984375,27.134765625
2,1818,972,SRL,8,522,71,KTGD Prasad,Abdur Rehman,9,21,28,17,484,63.22,Right-hand bat,227,119,1,6564.1,28.75,68.3,lo,1,SRL,spin,no,12.333984375,27.134765625
2,1825,979,SRL,8,530,79,KTGD Prasad,Abdur Rehman,9,29,32,17,484,63.22,Right-hand bat,228,120,1,6564.1,28.75,68.3,lo,1,SRL,spin,no,12.333984375,27.134765625
2,1829,983,SRL,8,532,81,KTGD Prasad,Abdur Rehman,9,30,33,17,484,63.22,Right-hand bat,232,122,1,6564.1,28.75,68.3,lo,1,SRL,spin,no,12.333984375,27.134765625
