innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1516,163,AUS,4,54,269,NM Lyon,SCJ Broad,6,4,11,11.93,1597,44.83,Right-hand bat,43,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1517,164,AUS,4,54,269,NM Lyon,SCJ Broad,6,4,12,11.93,1597,44.83,Right-hand bat,44,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1518,165,AUS,4,54,269,NM Lyon,SCJ Broad,6,4,13,11.93,1597,44.83,Right-hand bat,45,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1519,166,AUS,4,54,269,NM Lyon,SCJ Broad,6,4,14,11.93,1597,44.83,Right-hand bat,46,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1520,167,AUS,4,54,269,NM Lyon,SCJ Broad,6,4,15,11.93,1597,44.83,Right-hand bat,47,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1521,168,AUS,4,54,269,NM Lyon,SCJ Broad,6,4,16,11.93,1597,44.83,Right-hand bat,48,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1528,175,AUS,4,56,271,NM Lyon,SCJ Broad,6,4,17,11.93,1597,44.83,Right-hand bat,49,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1529,176,AUS,4,56,271,NM Lyon,SCJ Broad,6,4,18,11.93,1597,44.83,Right-hand bat,50,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1530,177,AUS,4,56,271,NM Lyon,SCJ Broad,6,4,19,11.93,1597,44.83,Right-hand bat,51,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1531,178,AUS,4,56,271,NM Lyon,SCJ Broad,6,4,20,11.93,1597,44.83,Right-hand bat,52,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1532,179,AUS,4,56,271,NM Lyon,SCJ Broad,6,4,21,11.93,1597,44.83,Right-hand bat,53,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1533,180,AUS,4,56,271,NM Lyon,SCJ Broad,6,4,22,11.93,1597,44.83,Right-hand bat,54,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1540,187,AUS,4,58,273,NM Lyon,SCJ Broad,6,4,23,11.93,1597,44.83,Right-hand bat,55,14,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1541,188,AUS,4,58,273,NM Lyon,SCJ Broad,6,4,24,11.93,1597,44.83,Right-hand bat,56,14,0,22830.1,28.87,58,rfm,4,AUS,seam,no,23.047091412742382,4.321329639889197
3,1542,189,AUS,4,62,277,NM Lyon,SCJ Broad,6,8,25,11.93,1597,44.83,Right-hand bat,57,18,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1543,190,AUS,4,62,277,NM Lyon,SCJ Broad,6,8,26,11.93,1597,44.83,Right-hand bat,58,18,0,22830.1,28.87,58,rfm,4,AUS,seam,no,23.047091412742382,4.321329639889197
3,1544,191,AUS,4,66,281,NM Lyon,SCJ Broad,6,12,27,11.93,1597,44.83,Right-hand bat,59,22,0,22830.1,28.87,58,rfm,0,AUS,seam,no,23.047091412742382,4.321329639889197
3,1545,192,AUS,4,66,281,NM Lyon,SCJ Broad,6,12,28,11.93,1597,44.83,Right-hand bat,60,22,0,22830.1,28.87,58,rfm,2,AUS,seam,no,23.047091412742382,4.321329639889197
