innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,80,80,AUS,2,47,47,SPD Smith,V Permaul,2,12,31,56.23,4735,54.63,Right-hand bat,0,0,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,81,81,AUS,2,47,47,SPD Smith,V Permaul,2,12,32,56.23,4735,54.63,Right-hand bat,1,0,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,82,82,AUS,2,47,47,SPD Smith,V Permaul,2,12,33,56.23,4735,54.63,Right-hand bat,2,0,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,83,83,AUS,2,47,47,SPD Smith,V Permaul,2,12,34,56.23,4735,54.63,Right-hand bat,3,0,0,1368.3,43.77,76.1,lo,4,WIN,spin,no,23.0712890625,6.4599609375
1,84,84,AUS,2,51,51,SPD Smith,V Permaul,2,16,35,56.23,4735,54.63,Right-hand bat,4,4,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,85,85,AUS,2,51,51,SPD Smith,V Permaul,2,16,36,56.23,4735,54.63,Right-hand bat,5,4,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,92,92,AUS,2,55,55,SPD Smith,V Permaul,2,16,37,56.23,4735,54.63,Right-hand bat,6,4,0,1368.3,43.77,76.1,lo,1,WIN,spin,no,23.0712890625,6.4599609375
1,104,104,AUS,2,69,69,SPD Smith,V Permaul,2,20,43,56.23,4735,54.63,Right-hand bat,12,13,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,105,105,AUS,2,69,69,SPD Smith,V Permaul,2,20,44,56.23,4735,54.63,Right-hand bat,13,13,0,1368.3,43.77,76.1,lo,1,WIN,spin,no,23.0712890625,6.4599609375
1,133,133,AUS,2,75,75,SPD Smith,V Permaul,2,25,57,56.23,4735,54.63,Right-hand bat,29,15,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,141,141,AUS,2,77,77,SPD Smith,V Permaul,2,25,63,56.23,4735,54.63,Right-hand bat,31,16,0,1368.3,43.77,76.1,lo,4,WIN,spin,no,23.0712890625,6.4599609375
1,142,142,AUS,2,81,81,SPD Smith,V Permaul,2,29,64,56.23,4735,54.63,Right-hand bat,32,20,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,143,143,AUS,2,81,81,SPD Smith,V Permaul,2,29,65,56.23,4735,54.63,Right-hand bat,33,20,0,1368.3,43.77,76.1,lo,4,WIN,spin,no,23.0712890625,6.4599609375
1,144,144,AUS,2,85,85,SPD Smith,V Permaul,2,33,66,56.23,4735,54.63,Right-hand bat,34,24,0,1368.3,43.77,76.1,lo,4,WIN,spin,no,23.0712890625,6.4599609375
1,145,145,AUS,2,89,89,SPD Smith,V Permaul,2,37,67,56.23,4735,54.63,Right-hand bat,35,28,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,152,152,AUS,2,89,89,SPD Smith,V Permaul,2,37,68,56.23,4735,54.63,Right-hand bat,36,28,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,153,153,AUS,2,89,89,SPD Smith,V Permaul,2,37,69,56.23,4735,54.63,Right-hand bat,37,28,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,154,154,AUS,2,89,89,SPD Smith,V Permaul,2,37,70,56.23,4735,54.63,Right-hand bat,38,28,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,155,155,AUS,2,89,89,SPD Smith,V Permaul,2,37,71,56.23,4735,54.63,Right-hand bat,39,28,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,156,156,AUS,2,89,89,SPD Smith,V Permaul,2,37,72,56.23,4735,54.63,Right-hand bat,40,28,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,157,157,AUS,2,89,89,SPD Smith,V Permaul,2,37,73,56.23,4735,54.63,Right-hand bat,41,28,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,164,164,AUS,2,89,89,SPD Smith,V Permaul,2,37,74,56.23,4735,54.63,Right-hand bat,42,28,0,1368.3,43.77,76.1,lo,1,WIN,spin,no,23.0712890625,6.4599609375
1,169,169,AUS,2,91,91,SPD Smith,V Permaul,2,38,75,56.23,4735,54.63,Right-hand bat,47,30,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,176,176,AUS,2,93,93,SPD Smith,V Permaul,2,38,76,56.23,4735,54.63,Right-hand bat,48,30,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,177,177,AUS,2,93,93,SPD Smith,V Permaul,2,38,77,56.23,4735,54.63,Right-hand bat,49,30,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,178,178,AUS,2,93,93,SPD Smith,V Permaul,2,38,78,56.23,4735,54.63,Right-hand bat,50,30,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,179,179,AUS,2,93,93,SPD Smith,V Permaul,2,38,79,56.23,4735,54.63,Right-hand bat,51,30,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,180,180,AUS,2,93,93,SPD Smith,V Permaul,2,38,80,56.23,4735,54.63,Right-hand bat,52,30,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,181,181,AUS,2,93,93,SPD Smith,V Permaul,2,38,81,56.23,4735,54.63,Right-hand bat,53,30,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,188,188,AUS,2,97,97,SPD Smith,V Permaul,2,38,82,56.23,4735,54.63,Right-hand bat,54,30,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,189,189,AUS,2,97,97,SPD Smith,V Permaul,2,38,83,56.23,4735,54.63,Right-hand bat,55,30,0,1368.3,43.77,76.1,lo,6,WIN,spin,no,23.0712890625,6.4599609375
1,190,190,AUS,2,103,103,SPD Smith,V Permaul,2,44,84,56.23,4735,54.63,Right-hand bat,56,36,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,191,191,AUS,2,103,103,SPD Smith,V Permaul,2,44,85,56.23,4735,54.63,Right-hand bat,57,36,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,192,192,AUS,2,103,103,SPD Smith,V Permaul,2,44,86,56.23,4735,54.63,Right-hand bat,58,36,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,193,193,AUS,2,103,103,SPD Smith,V Permaul,2,44,87,56.23,4735,54.63,Right-hand bat,59,36,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,200,200,AUS,2,103,103,SPD Smith,V Permaul,2,44,88,56.23,4735,54.63,Right-hand bat,60,36,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,201,201,AUS,2,103,103,SPD Smith,V Permaul,2,44,89,56.23,4735,54.63,Right-hand bat,61,36,0,1368.3,43.77,76.1,lo,6,WIN,spin,no,23.0712890625,6.4599609375
1,202,202,AUS,2,109,109,SPD Smith,V Permaul,2,50,90,56.23,4735,54.63,Right-hand bat,62,42,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,203,203,AUS,2,109,109,SPD Smith,V Permaul,2,50,91,56.23,4735,54.63,Right-hand bat,63,42,0,1368.3,43.77,76.1,lo,4,WIN,spin,no,23.0712890625,6.4599609375
1,204,204,AUS,2,113,113,SPD Smith,V Permaul,2,54,92,56.23,4735,54.63,Right-hand bat,64,46,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,205,205,AUS,2,113,113,SPD Smith,V Permaul,2,54,93,56.23,4735,54.63,Right-hand bat,65,46,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,294,294,AUS,3,147,147,SPD Smith,V Permaul,2,71,142,56.23,4735,54.63,Right-hand bat,69,47,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,295,295,AUS,3,147,147,SPD Smith,V Permaul,2,71,143,56.23,4735,54.63,Right-hand bat,70,47,0,1368.3,43.77,76.1,lo,4,WIN,spin,no,23.0712890625,6.4599609375
1,296,296,AUS,3,151,151,SPD Smith,V Permaul,2,75,144,56.23,4735,54.63,Right-hand bat,71,51,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
1,303,303,AUS,3,153,153,SPD Smith,V Permaul,2,76,148,56.23,4735,54.63,Right-hand bat,72,51,0,1368.3,43.77,76.1,lo,0,WIN,spin,no,23.0712890625,6.4599609375
