innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,12,12,PAK,0,3,3,Azhar Ali,MA Starc,2,3,4,47.19,11022,41.96,Right-hand bat,6,0,0,6840.5,27.74,48.5,lf,3,AUS,seam,yes,33.74485596707819,11.810699588477368
1,109,109,PAK,1,34,34,Azhar Ali,MA Starc,2,16,51,47.19,11022,41.96,Right-hand bat,18,5,0,6840.5,27.74,48.5,lf,0,AUS,seam,yes,33.74485596707819,11.810699588477368
1,110,110,PAK,1,34,34,Azhar Ali,MA Starc,2,16,52,47.19,11022,41.96,Right-hand bat,19,5,0,6840.5,27.74,48.5,lf,1,AUS,seam,yes,33.74485596707819,11.810699588477368
1,121,121,PAK,1,44,44,Azhar Ali,MA Starc,2,19,55,47.19,11022,41.96,Right-hand bat,24,6,0,6840.5,27.74,48.5,lf,1,AUS,seam,yes,33.74485596707819,11.810699588477368
1,133,133,PAK,1,46,46,Azhar Ali,MA Starc,2,21,60,47.19,11022,41.96,Right-hand bat,30,7,0,6840.5,27.74,48.5,lf,1,AUS,seam,yes,33.74485596707819,11.810699588477368
1,147,147,PAK,1,56,56,Azhar Ali,MA Starc,2,22,67,47.19,11022,41.96,Right-hand bat,38,17,0,6840.5,27.74,48.5,lf,0,AUS,seam,yes,33.74485596707819,11.810699588477368
1,148,148,PAK,1,56,56,Azhar Ali,MA Starc,2,22,68,47.19,11022,41.96,Right-hand bat,39,17,0,6840.5,27.74,48.5,lf,0,AUS,seam,yes,33.74485596707819,11.810699588477368
1,149,149,PAK,1,56,56,Azhar Ali,MA Starc,2,22,69,47.19,11022,41.96,Right-hand bat,40,17,0,6840.5,27.74,48.5,lf,1,AUS,seam,yes,33.74485596707819,11.810699588477368
1,157,157,PAK,2,60,60,Azhar Ali,MA Starc,2,26,73,47.19,11022,41.96,Right-hand bat,42,18,0,6840.5,27.74,48.5,lf,0,AUS,seam,yes,33.74485596707819,11.810699588477368
1,158,158,PAK,2,60,60,Azhar Ali,MA Starc,2,26,74,47.19,11022,41.96,Right-hand bat,43,18,0,6840.5,27.74,48.5,lf,0,AUS,seam,yes,33.74485596707819,11.810699588477368
1,159,159,PAK,2,60,60,Azhar Ali,MA Starc,2,26,75,47.19,11022,41.96,Right-hand bat,44,18,0,6840.5,27.74,48.5,lf,2,AUS,seam,yes,33.74485596707819,11.810699588477368
1,160,160,PAK,2,62,62,Azhar Ali,MA Starc,2,28,76,47.19,11022,41.96,Right-hand bat,45,20,0,6840.5,27.74,48.5,lf,0,AUS,seam,yes,33.74485596707819,11.810699588477368
1,161,161,PAK,2,62,62,Azhar Ali,MA Starc,2,28,77,47.19,11022,41.96,Right-hand bat,46,20,0,6840.5,27.74,48.5,lf,4b,AUS,seam,yes,33.74485596707819,11.810699588477368
