innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1831,102,AUS,2,84,19,AC Voges,MJ Henry,4,18,27,61.2,1204,50.83,Right-hand bat,0,0,0,768.1,49.8,76.9,rfm,1,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1833,104,AUS,2,86,21,AC Voges,MJ Henry,4,19,28,61.2,1204,50.83,Right-hand bat,2,2,0,768.1,49.8,76.9,rfm,4,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1834,105,AUS,2,90,25,AC Voges,MJ Henry,4,23,29,61.2,1204,50.83,Right-hand bat,3,6,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1835,106,AUS,2,90,25,AC Voges,MJ Henry,4,23,30,61.2,1204,50.83,Right-hand bat,4,6,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1836,107,AUS,2,90,25,AC Voges,MJ Henry,4,23,31,61.2,1204,50.83,Right-hand bat,5,6,0,768.1,49.8,76.9,rfm,1,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1844,115,AUS,2,92,27,AC Voges,MJ Henry,4,24,38,61.2,1204,50.83,Right-hand bat,7,8,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1845,116,AUS,2,92,27,AC Voges,MJ Henry,4,24,39,61.2,1204,50.83,Right-hand bat,8,8,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1846,117,AUS,2,92,27,AC Voges,MJ Henry,4,24,40,61.2,1204,50.83,Right-hand bat,9,8,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1847,118,AUS,2,92,27,AC Voges,MJ Henry,4,24,41,61.2,1204,50.83,Right-hand bat,10,8,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1848,119,AUS,2,92,27,AC Voges,MJ Henry,4,24,42,61.2,1204,50.83,Right-hand bat,11,8,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1855,126,AUS,2,98,33,AC Voges,MJ Henry,4,29,48,61.2,1204,50.83,Right-hand bat,12,8,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1856,127,AUS,2,98,33,AC Voges,MJ Henry,4,29,49,61.2,1204,50.83,Right-hand bat,13,8,0,768.1,49.8,76.9,rfm,1,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1859,130,AUS,2,100,35,AC Voges,MJ Henry,4,30,50,61.2,1204,50.83,Right-hand bat,16,10,0,768.1,49.8,76.9,rfm,4,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1860,131,AUS,2,104,39,AC Voges,MJ Henry,4,34,51,61.2,1204,50.83,Right-hand bat,17,14,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1867,138,AUS,2,112,47,AC Voges,MJ Henry,4,40,56,61.2,1204,50.83,Right-hand bat,18,14,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1868,139,AUS,2,112,47,AC Voges,MJ Henry,4,40,57,61.2,1204,50.83,Right-hand bat,19,14,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1869,140,AUS,2,112,47,AC Voges,MJ Henry,4,40,58,61.2,1204,50.83,Right-hand bat,20,14,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1870,141,AUS,2,112,47,AC Voges,MJ Henry,4,40,59,61.2,1204,50.83,Right-hand bat,21,14,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1871,142,AUS,2,112,47,AC Voges,MJ Henry,4,40,60,61.2,1204,50.83,Right-hand bat,22,14,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
3,1872,143,AUS,2,112,47,AC Voges,MJ Henry,4,40,61,61.2,1204,50.83,Right-hand bat,23,14,0,768.1,49.8,76.9,rfm,0,AUS,seam,yes,46.91836734693878,12.795918367346939
