innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,848,157,SRL,2,75,-318,HDRL Thirimanne,R Ashwin,4,0,0,26.13,2337,40.26,Left-hand bat,47,21,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,855,164,SRL,2,79,-314,HDRL Thirimanne,R Ashwin,4,0,1,26.13,2337,40.26,Left-hand bat,48,21,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,868,177,SRL,2,83,-310,HDRL Thirimanne,R Ashwin,4,1,8,26.13,2337,40.26,Left-hand bat,55,25,1,8064.4,28.53,57.2,rob,4,SRL,spin,no,12.831024930747922,17.642659279778393
2,869,178,SRL,2,87,-306,HDRL Thirimanne,R Ashwin,4,5,9,26.13,2337,40.26,Left-hand bat,56,29,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,870,179,SRL,2,87,-306,HDRL Thirimanne,R Ashwin,4,5,10,26.13,2337,40.26,Left-hand bat,57,29,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,871,180,SRL,2,87,-306,HDRL Thirimanne,R Ashwin,4,5,11,26.13,2337,40.26,Left-hand bat,58,29,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,872,181,SRL,2,87,-306,HDRL Thirimanne,R Ashwin,4,5,12,26.13,2337,40.26,Left-hand bat,59,29,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,879,188,SRL,2,89,-304,HDRL Thirimanne,R Ashwin,4,7,16,26.13,2337,40.26,Left-hand bat,60,30,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,880,189,SRL,2,89,-304,HDRL Thirimanne,R Ashwin,4,7,17,26.13,2337,40.26,Left-hand bat,61,30,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,881,190,SRL,2,89,-304,HDRL Thirimanne,R Ashwin,4,7,18,26.13,2337,40.26,Left-hand bat,62,30,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,898,207,SRL,2,97,-296,HDRL Thirimanne,R Ashwin,4,10,27,26.13,2337,40.26,Left-hand bat,71,34,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,905,214,SRL,2,99,-294,HDRL Thirimanne,R Ashwin,4,11,32,26.13,2337,40.26,Left-hand bat,72,34,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,906,215,SRL,2,99,-294,HDRL Thirimanne,R Ashwin,4,11,33,26.13,2337,40.26,Left-hand bat,73,34,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,907,216,SRL,2,99,-294,HDRL Thirimanne,R Ashwin,4,11,34,26.13,2337,40.26,Left-hand bat,74,34,1,8064.4,28.53,57.2,rob,2b,SRL,spin,no,12.831024930747922,17.642659279778393
2,908,217,SRL,2,101,-292,HDRL Thirimanne,R Ashwin,4,11,35,26.13,2337,40.26,Left-hand bat,75,34,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,1007,316,SRL,3,140,-253,HDRL Thirimanne,R Ashwin,4,28,75,26.13,2337,40.26,Left-hand bat,78,37,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1008,317,SRL,3,140,-253,HDRL Thirimanne,R Ashwin,4,28,76,26.13,2337,40.26,Left-hand bat,79,37,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1009,318,SRL,3,140,-253,HDRL Thirimanne,R Ashwin,4,28,77,26.13,2337,40.26,Left-hand bat,80,37,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1010,319,SRL,3,140,-253,HDRL Thirimanne,R Ashwin,4,28,78,26.13,2337,40.26,Left-hand bat,81,37,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1011,320,SRL,3,140,-253,HDRL Thirimanne,R Ashwin,4,28,79,26.13,2337,40.26,Left-hand bat,82,37,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1012,321,SRL,3,140,-253,HDRL Thirimanne,R Ashwin,4,28,80,26.13,2337,40.26,Left-hand bat,83,37,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1062,371,SRL,3,168,-225,HDRL Thirimanne,R Ashwin,4,32,104,26.13,2337,40.26,Left-hand bat,84,37,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,1065,374,SRL,3,170,-223,HDRL Thirimanne,R Ashwin,4,33,105,26.13,2337,40.26,Left-hand bat,87,39,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1066,375,SRL,3,170,-223,HDRL Thirimanne,R Ashwin,4,33,106,26.13,2337,40.26,Left-hand bat,88,39,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1067,376,SRL,3,170,-223,HDRL Thirimanne,R Ashwin,4,33,107,26.13,2337,40.26,Left-hand bat,89,39,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1076,385,SRL,3,172,-221,HDRL Thirimanne,R Ashwin,4,33,110,26.13,2337,40.26,Left-hand bat,92,40,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1077,386,SRL,3,172,-221,HDRL Thirimanne,R Ashwin,4,33,111,26.13,2337,40.26,Left-hand bat,93,40,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1078,387,SRL,3,172,-221,HDRL Thirimanne,R Ashwin,4,33,112,26.13,2337,40.26,Left-hand bat,94,40,1,8064.4,28.53,57.2,rob,4,SRL,spin,no,12.831024930747922,17.642659279778393
2,1079,388,SRL,3,176,-217,HDRL Thirimanne,R Ashwin,4,37,113,26.13,2337,40.26,Left-hand bat,95,44,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1086,395,SRL,3,178,-215,HDRL Thirimanne,R Ashwin,4,37,114,26.13,2337,40.26,Left-hand bat,96,44,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,1089,398,SRL,3,180,-213,HDRL Thirimanne,R Ashwin,4,38,115,26.13,2337,40.26,Left-hand bat,99,46,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1090,399,SRL,3,180,-213,HDRL Thirimanne,R Ashwin,4,38,116,26.13,2337,40.26,Left-hand bat,100,46,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,1098,407,SRL,3,182,-211,HDRL Thirimanne,R Ashwin,4,40,121,26.13,2337,40.26,Left-hand bat,102,47,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,1103,412,SRL,3,184,-209,HDRL Thirimanne,R Ashwin,4,41,122,26.13,2337,40.26,Left-hand bat,107,49,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1111,420,SRL,3,186,-207,HDRL Thirimanne,R Ashwin,4,41,128,26.13,2337,40.26,Left-hand bat,109,50,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,1114,423,SRL,3,188,-205,HDRL Thirimanne,R Ashwin,4,42,129,26.13,2337,40.26,Left-hand bat,112,52,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,1122,431,SRL,3,190,-203,HDRL Thirimanne,R Ashwin,4,43,131,26.13,2337,40.26,Left-hand bat,114,53,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1123,432,SRL,3,190,-203,HDRL Thirimanne,R Ashwin,4,43,132,26.13,2337,40.26,Left-hand bat,115,53,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1124,433,SRL,3,190,-203,HDRL Thirimanne,R Ashwin,4,43,133,26.13,2337,40.26,Left-hand bat,116,53,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1125,434,SRL,3,190,-203,HDRL Thirimanne,R Ashwin,4,43,134,26.13,2337,40.26,Left-hand bat,117,53,1,8064.4,28.53,57.2,rob,4,SRL,spin,no,12.831024930747922,17.642659279778393
2,1126,435,SRL,3,194,-199,HDRL Thirimanne,R Ashwin,4,47,135,26.13,2337,40.26,Left-hand bat,118,57,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1127,436,SRL,3,194,-199,HDRL Thirimanne,R Ashwin,4,47,136,26.13,2337,40.26,Left-hand bat,119,57,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1139,448,SRL,3,204,-189,HDRL Thirimanne,R Ashwin,4,47,138,26.13,2337,40.26,Left-hand bat,125,60,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1146,455,SRL,3,204,-189,HDRL Thirimanne,R Ashwin,4,47,139,26.13,2337,40.26,Left-hand bat,126,60,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1147,456,SRL,3,204,-189,HDRL Thirimanne,R Ashwin,4,47,140,26.13,2337,40.26,Left-hand bat,127,60,1,8064.4,28.53,57.2,rob,2,SRL,spin,no,12.831024930747922,17.642659279778393
2,1148,457,SRL,3,206,-187,HDRL Thirimanne,R Ashwin,4,49,141,26.13,2337,40.26,Left-hand bat,128,62,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
2,1182,491,SRL,3,224,-169,HDRL Thirimanne,R Ashwin,4,57,155,26.13,2337,40.26,Left-hand bat,132,63,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1183,492,SRL,3,224,-169,HDRL Thirimanne,R Ashwin,4,57,156,26.13,2337,40.26,Left-hand bat,133,63,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1184,493,SRL,3,224,-169,HDRL Thirimanne,R Ashwin,4,57,157,26.13,2337,40.26,Left-hand bat,134,63,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1185,494,SRL,3,224,-169,HDRL Thirimanne,R Ashwin,4,57,158,26.13,2337,40.26,Left-hand bat,135,63,1,8064.4,28.53,57.2,rob,2,SRL,spin,no,12.831024930747922,17.642659279778393
2,1186,495,SRL,3,226,-167,HDRL Thirimanne,R Ashwin,4,59,159,26.13,2337,40.26,Left-hand bat,136,65,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1187,496,SRL,3,226,-167,HDRL Thirimanne,R Ashwin,4,59,160,26.13,2337,40.26,Left-hand bat,137,65,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1194,503,SRL,3,238,-155,HDRL Thirimanne,R Ashwin,4,59,161,26.13,2337,40.26,Left-hand bat,138,65,1,8064.4,28.53,57.2,rob,0,SRL,spin,no,12.831024930747922,17.642659279778393
2,1195,504,SRL,3,238,-155,HDRL Thirimanne,R Ashwin,4,59,162,26.13,2337,40.26,Left-hand bat,139,65,1,8064.4,28.53,57.2,rob,1,SRL,spin,no,12.831024930747922,17.642659279778393
