innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1632,233,SRL,5,108,-277,MDKJ Perera,A Mishra,7,0,0,62.5,162,77.16,Left-hand bat,21,5,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1633,234,SRL,5,108,-277,MDKJ Perera,A Mishra,7,0,1,62.5,162,77.16,Left-hand bat,22,5,0,3966.5,35.98,68.4,rls,2,SRL,spin,yes,17.803125,8.571875
4,1634,235,SRL,5,110,-275,MDKJ Perera,A Mishra,7,2,2,62.5,162,77.16,Left-hand bat,23,7,0,3966.5,35.98,68.4,rls,1,SRL,spin,yes,17.803125,8.571875
4,1655,256,SRL,5,119,-266,MDKJ Perera,A Mishra,7,5,7,62.5,162,77.16,Left-hand bat,32,11,0,3966.5,35.98,68.4,rls,1nb,SRL,spin,yes,17.803125,8.571875
4,1656,257,SRL,5,120,-265,MDKJ Perera,A Mishra,7,5,8,62.5,162,77.16,Left-hand bat,33,12,0,3966.5,35.98,68.4,rls,1,SRL,spin,yes,17.803125,8.571875
4,1659,260,SRL,5,122,-263,MDKJ Perera,A Mishra,7,6,9,62.5,162,77.16,Left-hand bat,36,14,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1660,261,SRL,5,122,-263,MDKJ Perera,A Mishra,7,6,10,62.5,162,77.16,Left-hand bat,37,14,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1661,262,SRL,5,122,-263,MDKJ Perera,A Mishra,7,6,11,62.5,162,77.16,Left-hand bat,38,14,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1750,351,SRL,5,167,-218,MDKJ Perera,A Mishra,7,29,53,62.5,162,77.16,Left-hand bat,59,18,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1751,352,SRL,5,167,-218,MDKJ Perera,A Mishra,7,29,54,62.5,162,77.16,Left-hand bat,60,18,0,3966.5,35.98,68.4,rls,1,SRL,spin,yes,17.803125,8.571875
4,1760,361,SRL,5,175,-210,MDKJ Perera,A Mishra,7,35,59,62.5,162,77.16,Left-hand bat,63,19,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1761,362,SRL,5,175,-210,MDKJ Perera,A Mishra,7,35,60,62.5,162,77.16,Left-hand bat,64,19,0,3966.5,35.98,68.4,rls,4,SRL,spin,yes,17.803125,8.571875
4,1762,363,SRL,5,179,-206,MDKJ Perera,A Mishra,7,39,61,62.5,162,77.16,Left-hand bat,65,23,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1763,364,SRL,5,179,-206,MDKJ Perera,A Mishra,7,39,62,62.5,162,77.16,Left-hand bat,66,23,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1764,365,SRL,5,179,-206,MDKJ Perera,A Mishra,7,39,63,62.5,162,77.16,Left-hand bat,67,23,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1765,366,SRL,5,179,-206,MDKJ Perera,A Mishra,7,39,64,62.5,162,77.16,Left-hand bat,68,23,0,3966.5,35.98,68.4,rls,4,SRL,spin,yes,17.803125,8.571875
4,1825,426,SRL,5,215,-170,MDKJ Perera,A Mishra,7,53,90,62.5,162,77.16,Left-hand bat,74,30,0,3966.5,35.98,68.4,rls,4,SRL,spin,yes,17.803125,8.571875
4,1832,433,SRL,5,219,-166,MDKJ Perera,A Mishra,7,57,91,62.5,162,77.16,Left-hand bat,75,34,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1833,434,SRL,5,219,-166,MDKJ Perera,A Mishra,7,57,92,62.5,162,77.16,Left-hand bat,76,34,0,3966.5,35.98,68.4,rls,4,SRL,spin,yes,17.803125,8.571875
4,1834,435,SRL,5,223,-162,MDKJ Perera,A Mishra,7,61,93,62.5,162,77.16,Left-hand bat,77,38,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1835,436,SRL,5,223,-162,MDKJ Perera,A Mishra,7,61,94,62.5,162,77.16,Left-hand bat,78,38,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1836,437,SRL,5,223,-162,MDKJ Perera,A Mishra,7,61,95,62.5,162,77.16,Left-hand bat,79,38,0,3966.5,35.98,68.4,rls,1,SRL,spin,yes,17.803125,8.571875
4,1844,445,SRL,5,237,-148,MDKJ Perera,A Mishra,7,67,98,62.5,162,77.16,Left-hand bat,81,39,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1845,446,SRL,5,237,-148,MDKJ Perera,A Mishra,7,67,99,62.5,162,77.16,Left-hand bat,82,39,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1846,447,SRL,5,237,-148,MDKJ Perera,A Mishra,7,67,100,62.5,162,77.16,Left-hand bat,83,39,0,3966.5,35.98,68.4,rls,1,SRL,spin,yes,17.803125,8.571875
4,1849,450,SRL,5,239,-146,MDKJ Perera,A Mishra,7,68,101,62.5,162,77.16,Left-hand bat,86,41,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1856,457,SRL,5,241,-144,MDKJ Perera,A Mishra,7,69,103,62.5,162,77.16,Left-hand bat,87,41,0,3966.5,35.98,68.4,rls,0,SRL,spin,yes,17.803125,8.571875
4,1857,458,SRL,5,241,-144,MDKJ Perera,A Mishra,7,69,104,62.5,162,77.16,Left-hand bat,88,41,0,3966.5,35.98,68.4,rls,1,SRL,spin,yes,17.803125,8.571875
