innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1720,1043,AUS,5,544,198,TD Paine,TK Curran,7,0,0,39.91,1010,47.42,Right-hand bat,123,73,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1721,1044,AUS,5,544,198,TD Paine,TK Curran,7,0,1,39.91,1010,47.42,Right-hand bat,124,73,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1722,1045,AUS,5,544,198,TD Paine,TK Curran,7,0,2,39.91,1010,47.42,Right-hand bat,125,73,1,396,100,198,rfm,1,ENG,seam,no,32.23593964334705,11.282578875171467
2,1730,1053,AUS,5,552,206,TD Paine,TK Curran,7,6,7,39.91,1010,47.42,Right-hand bat,127,74,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1731,1054,AUS,5,552,206,TD Paine,TK Curran,7,6,8,39.91,1010,47.42,Right-hand bat,128,74,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1732,1055,AUS,5,552,206,TD Paine,TK Curran,7,6,9,39.91,1010,47.42,Right-hand bat,129,74,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1733,1056,AUS,5,552,206,TD Paine,TK Curran,7,6,10,39.91,1010,47.42,Right-hand bat,130,74,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1734,1057,AUS,5,552,206,TD Paine,TK Curran,7,6,11,39.91,1010,47.42,Right-hand bat,131,74,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1735,1058,AUS,5,552,206,TD Paine,TK Curran,7,6,12,39.91,1010,47.42,Right-hand bat,132,74,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1742,1065,AUS,5,558,212,TD Paine,TK Curran,7,8,16,39.91,1010,47.42,Right-hand bat,133,74,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1743,1066,AUS,5,558,212,TD Paine,TK Curran,7,8,17,39.91,1010,47.42,Right-hand bat,134,74,1,396,100,198,rfm,1,ENG,seam,no,32.23593964334705,11.282578875171467
2,1754,1077,AUS,5,566,220,TD Paine,TK Curran,7,10,19,39.91,1010,47.42,Right-hand bat,139,76,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1755,1078,AUS,5,566,220,TD Paine,TK Curran,7,10,20,39.91,1010,47.42,Right-hand bat,140,76,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1756,1079,AUS,5,566,220,TD Paine,TK Curran,7,10,21,39.91,1010,47.42,Right-hand bat,141,76,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1757,1080,AUS,5,566,220,TD Paine,TK Curran,7,10,22,39.91,1010,47.42,Right-hand bat,142,76,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1758,1081,AUS,5,566,220,TD Paine,TK Curran,7,10,23,39.91,1010,47.42,Right-hand bat,143,76,1,396,100,198,rfm,1,ENG,seam,no,32.23593964334705,11.282578875171467
2,1766,1089,AUS,5,576,230,TD Paine,TK Curran,7,12,27,39.91,1010,47.42,Right-hand bat,145,81,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1767,1090,AUS,5,576,230,TD Paine,TK Curran,7,12,28,39.91,1010,47.42,Right-hand bat,146,81,1,396,100,198,rfm,0,ENG,seam,no,32.23593964334705,11.282578875171467
2,1768,1091,AUS,5,576,230,TD Paine,TK Curran,7,12,29,39.91,1010,47.42,Right-hand bat,147,81,1,396,100,198,rfm,1,ENG,seam,no,32.23593964334705,11.282578875171467
