innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,523,12,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,6,47.47,21075,46.4,Left-hand bat,0,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,524,13,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,7,47.47,21075,46.4,Left-hand bat,1,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,525,14,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,8,47.47,21075,46.4,Left-hand bat,2,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,526,15,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,9,47.47,21075,46.4,Left-hand bat,3,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,527,16,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,10,47.47,21075,46.4,Left-hand bat,4,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,528,17,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,11,47.47,21075,46.4,Left-hand bat,5,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,535,24,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,12,47.47,21075,46.4,Left-hand bat,6,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,536,25,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,13,47.47,21075,46.4,Left-hand bat,7,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,537,26,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,14,47.47,21075,46.4,Left-hand bat,8,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,538,27,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,15,47.47,21075,46.4,Left-hand bat,9,0,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,539,28,ENG,0,4,-230,AN Cook,Wahab Riaz,1,0,16,47.47,21075,46.4,Left-hand bat,10,0,0,2640.2,34.16,61.4,lf,2,ENG,seam,no,9.19625,17.07875
2,540,29,ENG,0,6,-228,AN Cook,Wahab Riaz,1,2,17,47.47,21075,46.4,Left-hand bat,11,2,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,656,145,ENG,1,64,-170,AN Cook,Wahab Riaz,1,31,71,47.47,21075,46.4,Left-hand bat,19,5,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,657,146,ENG,1,64,-170,AN Cook,Wahab Riaz,1,31,72,47.47,21075,46.4,Left-hand bat,20,5,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,658,147,ENG,1,64,-170,AN Cook,Wahab Riaz,1,31,73,47.47,21075,46.4,Left-hand bat,21,5,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,659,148,ENG,1,64,-170,AN Cook,Wahab Riaz,1,31,74,47.47,21075,46.4,Left-hand bat,22,5,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,660,149,ENG,1,64,-170,AN Cook,Wahab Riaz,1,31,75,47.47,21075,46.4,Left-hand bat,23,5,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,667,156,ENG,1,66,-168,AN Cook,Wahab Riaz,1,32,78,47.47,21075,46.4,Left-hand bat,24,5,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,668,157,ENG,1,66,-168,AN Cook,Wahab Riaz,1,32,79,47.47,21075,46.4,Left-hand bat,25,5,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,669,158,ENG,1,66,-168,AN Cook,Wahab Riaz,1,32,80,47.47,21075,46.4,Left-hand bat,26,5,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,670,159,ENG,1,66,-168,AN Cook,Wahab Riaz,1,32,81,47.47,21075,46.4,Left-hand bat,27,5,0,2640.2,34.16,61.4,lf,0,ENG,seam,no,9.19625,17.07875
2,671,160,ENG,1,66,-168,AN Cook,Wahab Riaz,1,32,82,47.47,21075,46.4,Left-hand bat,28,5,0,2640.2,34.16,61.4,lf,2,ENG,seam,no,9.19625,17.07875
2,672,161,ENG,1,68,-166,AN Cook,Wahab Riaz,1,34,83,47.47,21075,46.4,Left-hand bat,29,7,0,2640.2,34.16,61.4,lf,1,ENG,seam,no,9.19625,17.07875
2,679,168,ENG,1,74,-160,AN Cook,Wahab Riaz,1,40,90,47.47,21075,46.4,Left-hand bat,30,8,0,2640.2,34.16,61.4,lf,1nb,ENG,seam,no,9.19625,17.07875
