innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,910,199,RSA,5,69,-265,AB de Villiers,R Ashwin,4,22,41,51.39,14597,53.87,Right-hand bat,30,3,0,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,911,200,RSA,5,69,-265,AB de Villiers,R Ashwin,4,22,42,51.39,14597,53.87,Right-hand bat,31,3,0,9222.2,25.39,52.4,rob,1,IND,spin,no,10.591836734693878,14.122448979591837
2,913,202,RSA,5,71,-263,AB de Villiers,R Ashwin,4,23,43,51.39,14597,53.87,Right-hand bat,33,5,0,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,914,203,RSA,5,71,-263,AB de Villiers,R Ashwin,4,23,44,51.39,14597,53.87,Right-hand bat,34,5,0,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,915,204,RSA,5,71,-263,AB de Villiers,R Ashwin,4,23,45,51.39,14597,53.87,Right-hand bat,35,5,0,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,922,211,RSA,5,77,-257,AB de Villiers,R Ashwin,4,23,46,51.39,14597,53.87,Right-hand bat,36,5,0,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,923,212,RSA,5,77,-257,AB de Villiers,R Ashwin,4,23,47,51.39,14597,53.87,Right-hand bat,37,5,0,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,924,213,RSA,5,77,-257,AB de Villiers,R Ashwin,4,23,48,51.39,14597,53.87,Right-hand bat,38,5,0,9222.2,25.39,52.4,rob,1,IND,spin,no,10.591836734693878,14.122448979591837
2,926,215,RSA,5,79,-255,AB de Villiers,R Ashwin,4,24,49,51.39,14597,53.87,Right-hand bat,40,7,0,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,927,216,RSA,5,79,-255,AB de Villiers,R Ashwin,4,24,50,51.39,14597,53.87,Right-hand bat,41,7,0,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,934,223,RSA,6,79,-255,AB de Villiers,R Ashwin,4,24,51,51.39,14597,53.87,Right-hand bat,42,7,0,9222.2,25.39,52.4,rob,1,IND,spin,no,10.591836734693878,14.122448979591837
2,951,240,RSA,7,97,-237,AB de Villiers,R Ashwin,4,34,56,51.39,14597,53.87,Right-hand bat,53,15,1,9222.2,25.39,52.4,rob,1,IND,spin,no,10.591836734693878,14.122448979591837
2,970,259,RSA,8,103,-231,AB de Villiers,R Ashwin,4,38,64,51.39,14597,53.87,Right-hand bat,60,16,1,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,971,260,RSA,8,103,-231,AB de Villiers,R Ashwin,4,38,65,51.39,14597,53.87,Right-hand bat,61,16,1,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,972,261,RSA,8,103,-231,AB de Villiers,R Ashwin,4,38,66,51.39,14597,53.87,Right-hand bat,62,16,1,9222.2,25.39,52.4,rob,0,IND,spin,no,10.591836734693878,14.122448979591837
2,973,262,RSA,8,103,-231,AB de Villiers,R Ashwin,4,38,67,51.39,14597,53.87,Right-hand bat,63,16,1,9222.2,25.39,52.4,rob,4b,IND,spin,no,10.591836734693878,14.122448979591837
2,974,263,RSA,8,107,-227,AB de Villiers,R Ashwin,4,38,68,51.39,14597,53.87,Right-hand bat,64,16,1,9222.2,25.39,52.4,rob,1,IND,spin,no,10.591836734693878,14.122448979591837
2,985,274,RSA,8,115,-219,AB de Villiers,R Ashwin,4,40,74,51.39,14597,53.87,Right-hand bat,69,22,1,9222.2,25.39,52.4,rob,1,IND,spin,no,10.591836734693878,14.122448979591837
