innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,611,61,SRL,3,27,-271,AD Mathews,JM Anderson,5,6,14,49.43,8154,49.71,Right-hand bat,30,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,612,62,SRL,3,27,-271,AD Mathews,JM Anderson,5,6,15,49.43,8154,49.71,Right-hand bat,31,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,613,63,SRL,3,27,-271,AD Mathews,JM Anderson,5,6,16,49.43,8154,49.71,Right-hand bat,32,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,614,64,SRL,3,27,-271,AD Mathews,JM Anderson,5,6,17,49.43,8154,49.71,Right-hand bat,33,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,615,65,SRL,3,27,-271,AD Mathews,JM Anderson,5,6,18,49.43,8154,49.71,Right-hand bat,34,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,616,66,SRL,3,27,-271,AD Mathews,JM Anderson,5,6,19,49.43,8154,49.71,Right-hand bat,35,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,711,161,SRL,4,77,-221,AD Mathews,JM Anderson,5,34,56,49.43,8154,49.71,Right-hand bat,36,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,712,162,SRL,4,77,-221,AD Mathews,JM Anderson,5,34,57,49.43,8154,49.71,Right-hand bat,37,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,713,163,SRL,4,77,-221,AD Mathews,JM Anderson,5,34,58,49.43,8154,49.71,Right-hand bat,38,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,714,164,SRL,4,77,-221,AD Mathews,JM Anderson,5,34,59,49.43,8154,49.71,Right-hand bat,39,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,715,165,SRL,4,77,-221,AD Mathews,JM Anderson,5,34,60,49.43,8154,49.71,Right-hand bat,40,15,1,25332.4,28.62,57.1,rfm,0,ENG,seam,yes,15.24,1.6933333333333331
2,716,166,SRL,4,77,-221,AD Mathews,JM Anderson,5,34,61,49.43,8154,49.71,Right-hand bat,41,15,1,25332.4,28.62,57.1,rfm,W,ENG,seam,yes,15.24,1.6933333333333331
