innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,265,265,PAK,4,134,134,Asad Shafiq,SCJ Broad,6,0,0,43.85,5819,46.72,Right-hand bat,72,22,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,286,286,PAK,4,136,136,Asad Shafiq,SCJ Broad,6,0,9,43.85,5819,46.72,Right-hand bat,81,23,1,19728,28.34,56.2,rfm,1,ENG,seam,yes,18.0775,7.7475
1,362,362,PAK,4,185,185,Asad Shafiq,SCJ Broad,6,29,54,43.85,5819,46.72,Right-hand bat,85,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,363,363,PAK,4,185,185,Asad Shafiq,SCJ Broad,6,29,55,43.85,5819,46.72,Right-hand bat,86,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,364,364,PAK,4,185,185,Asad Shafiq,SCJ Broad,6,29,56,43.85,5819,46.72,Right-hand bat,87,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,365,365,PAK,4,185,185,Asad Shafiq,SCJ Broad,6,29,57,43.85,5819,46.72,Right-hand bat,88,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,366,366,PAK,4,185,185,Asad Shafiq,SCJ Broad,6,29,58,43.85,5819,46.72,Right-hand bat,89,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,367,367,PAK,4,185,185,Asad Shafiq,SCJ Broad,6,29,59,43.85,5819,46.72,Right-hand bat,90,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,374,374,PAK,4,189,189,Asad Shafiq,SCJ Broad,6,29,60,43.85,5819,46.72,Right-hand bat,91,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,375,375,PAK,4,189,189,Asad Shafiq,SCJ Broad,6,29,61,43.85,5819,46.72,Right-hand bat,92,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,376,376,PAK,4,189,189,Asad Shafiq,SCJ Broad,6,29,62,43.85,5819,46.72,Right-hand bat,93,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,377,377,PAK,4,189,189,Asad Shafiq,SCJ Broad,6,29,63,43.85,5819,46.72,Right-hand bat,94,24,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,378,378,PAK,4,189,189,Asad Shafiq,SCJ Broad,6,29,64,43.85,5819,46.72,Right-hand bat,95,24,1,19728,28.34,56.2,rfm,1,ENG,seam,yes,18.0775,7.7475
1,386,386,PAK,4,195,195,Asad Shafiq,SCJ Broad,6,34,70,43.85,5819,46.72,Right-hand bat,97,25,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,387,387,PAK,4,195,195,Asad Shafiq,SCJ Broad,6,34,71,43.85,5819,46.72,Right-hand bat,98,25,1,19728,28.34,56.2,rfm,4,ENG,seam,yes,18.0775,7.7475
1,388,388,PAK,4,199,199,Asad Shafiq,SCJ Broad,6,38,72,43.85,5819,46.72,Right-hand bat,99,29,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,389,389,PAK,4,199,199,Asad Shafiq,SCJ Broad,6,38,73,43.85,5819,46.72,Right-hand bat,100,29,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,390,390,PAK,4,199,199,Asad Shafiq,SCJ Broad,6,38,74,43.85,5819,46.72,Right-hand bat,101,29,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,391,391,PAK,4,199,199,Asad Shafiq,SCJ Broad,6,38,75,43.85,5819,46.72,Right-hand bat,102,29,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,400,400,PAK,4,205,205,Asad Shafiq,SCJ Broad,6,38,77,43.85,5819,46.72,Right-hand bat,105,30,1,19728,28.34,56.2,rfm,4,ENG,seam,yes,18.0775,7.7475
1,401,401,PAK,4,209,209,Asad Shafiq,SCJ Broad,6,42,78,43.85,5819,46.72,Right-hand bat,106,34,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,402,402,PAK,4,209,209,Asad Shafiq,SCJ Broad,6,42,79,43.85,5819,46.72,Right-hand bat,107,34,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,403,403,PAK,4,209,209,Asad Shafiq,SCJ Broad,6,42,80,43.85,5819,46.72,Right-hand bat,108,34,1,19728,28.34,56.2,rfm,1,ENG,seam,yes,18.0775,7.7475
1,485,485,PAK,4,268,268,Asad Shafiq,SCJ Broad,6,65,118,43.85,5819,46.72,Right-hand bat,111,36,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,486,486,PAK,4,268,268,Asad Shafiq,SCJ Broad,6,65,119,43.85,5819,46.72,Right-hand bat,112,36,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,487,487,PAK,4,268,268,Asad Shafiq,SCJ Broad,6,65,120,43.85,5819,46.72,Right-hand bat,113,36,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,488,488,PAK,4,268,268,Asad Shafiq,SCJ Broad,6,65,121,43.85,5819,46.72,Right-hand bat,114,36,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,495,495,PAK,4,270,270,Asad Shafiq,SCJ Broad,6,65,122,43.85,5819,46.72,Right-hand bat,115,36,1,19728,28.34,56.2,rfm,4,ENG,seam,yes,18.0775,7.7475
1,496,496,PAK,4,274,274,Asad Shafiq,SCJ Broad,6,69,123,43.85,5819,46.72,Right-hand bat,116,40,1,19728,28.34,56.2,rfm,4,ENG,seam,yes,18.0775,7.7475
1,497,497,PAK,4,278,278,Asad Shafiq,SCJ Broad,6,73,124,43.85,5819,46.72,Right-hand bat,117,44,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,498,498,PAK,4,278,278,Asad Shafiq,SCJ Broad,6,73,125,43.85,5819,46.72,Right-hand bat,118,44,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,499,499,PAK,4,278,278,Asad Shafiq,SCJ Broad,6,73,126,43.85,5819,46.72,Right-hand bat,119,44,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
1,500,500,PAK,4,278,278,Asad Shafiq,SCJ Broad,6,73,127,43.85,5819,46.72,Right-hand bat,120,44,1,19728,28.34,56.2,rfm,0,ENG,seam,yes,18.0775,7.7475
