innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,834,834,ENG,6,501,501,JM Bairstow,Rahat Ali,8,18,21,40.13,3101,55.65,Right-hand bat,153,88,2,3210.4,37.39,69.8,lfm,4,ENG,seam,yes,31.234244946492268,9.938168846611177
1,835,835,ENG,6,505,505,JM Bairstow,Rahat Ali,8,22,22,40.13,3101,55.65,Right-hand bat,154,92,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,836,836,ENG,6,505,505,JM Bairstow,Rahat Ali,8,22,23,40.13,3101,55.65,Right-hand bat,155,92,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,837,837,ENG,6,505,505,JM Bairstow,Rahat Ali,8,22,24,40.13,3101,55.65,Right-hand bat,156,92,2,3210.4,37.39,69.8,lfm,1,ENG,seam,yes,31.234244946492268,9.938168846611177
1,847,847,ENG,6,513,513,JM Bairstow,Rahat Ali,8,27,30,40.13,3101,55.65,Right-hand bat,160,95,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,848,848,ENG,6,513,513,JM Bairstow,Rahat Ali,8,27,31,40.13,3101,55.65,Right-hand bat,161,95,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,849,849,ENG,6,513,513,JM Bairstow,Rahat Ali,8,27,32,40.13,3101,55.65,Right-hand bat,162,95,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,850,850,ENG,6,513,513,JM Bairstow,Rahat Ali,8,27,33,40.13,3101,55.65,Right-hand bat,163,95,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,858,858,ENG,6,515,515,JM Bairstow,Rahat Ali,8,27,36,40.13,3101,55.65,Right-hand bat,165,96,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,859,859,ENG,6,515,515,JM Bairstow,Rahat Ali,8,27,37,40.13,3101,55.65,Right-hand bat,166,96,2,3210.4,37.39,69.8,lfm,1lb,ENG,seam,yes,31.234244946492268,9.938168846611177
1,861,861,ENG,6,517,517,JM Bairstow,Rahat Ali,8,27,38,40.13,3101,55.65,Right-hand bat,168,97,2,3210.4,37.39,69.8,lfm,1,ENG,seam,yes,31.234244946492268,9.938168846611177
1,869,869,ENG,6,525,525,JM Bairstow,Rahat Ali,8,29,43,40.13,3101,55.65,Right-hand bat,170,99,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,870,870,ENG,6,525,525,JM Bairstow,Rahat Ali,8,29,44,40.13,3101,55.65,Right-hand bat,171,99,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,871,871,ENG,6,525,525,JM Bairstow,Rahat Ali,8,29,45,40.13,3101,55.65,Right-hand bat,172,99,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,872,872,ENG,6,525,525,JM Bairstow,Rahat Ali,8,29,46,40.13,3101,55.65,Right-hand bat,173,99,2,3210.4,37.39,69.8,lfm,0,ENG,seam,yes,31.234244946492268,9.938168846611177
1,873,873,ENG,6,525,525,JM Bairstow,Rahat Ali,8,29,47,40.13,3101,55.65,Right-hand bat,174,99,2,3210.4,37.39,69.8,lfm,1,ENG,seam,yes,31.234244946492268,9.938168846611177
