innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,295,295,NZL,1,205,205,KS Williamson,MDUS Jayasundera,3,73,101,49.16,7884,48.02,Right-hand bat,0,0,0,42,NA,NA,rls,0,NZL,spin,no,30.416896235078056,8.189164370982553
1,296,296,NZL,1,205,205,KS Williamson,MDUS Jayasundera,3,73,102,49.16,7884,48.02,Right-hand bat,1,0,0,42,NA,NA,rls,0,NZL,spin,no,30.416896235078056,8.189164370982553
1,297,297,NZL,1,205,205,KS Williamson,MDUS Jayasundera,3,73,103,49.16,7884,48.02,Right-hand bat,2,0,0,42,NA,NA,rls,0,NZL,spin,no,30.416896235078056,8.189164370982553
1,298,298,NZL,1,205,205,KS Williamson,MDUS Jayasundera,3,73,104,49.16,7884,48.02,Right-hand bat,3,0,0,42,NA,NA,rls,1,NZL,spin,no,30.416896235078056,8.189164370982553
1,300,300,NZL,1,208,208,KS Williamson,MDUS Jayasundera,3,74,105,49.16,7884,48.02,Right-hand bat,5,2,0,42,NA,NA,rls,4,NZL,spin,no,30.416896235078056,8.189164370982553
1,301,301,NZL,1,212,212,KS Williamson,MDUS Jayasundera,3,78,106,49.16,7884,48.02,Right-hand bat,6,6,0,42,NA,NA,rls,1,NZL,spin,no,30.416896235078056,8.189164370982553
1,310,310,NZL,1,216,216,KS Williamson,MDUS Jayasundera,3,80,110,49.16,7884,48.02,Right-hand bat,9,8,0,42,NA,NA,rls,2,NZL,spin,no,30.416896235078056,8.189164370982553
1,311,311,NZL,1,218,218,KS Williamson,MDUS Jayasundera,3,82,111,49.16,7884,48.02,Right-hand bat,10,10,0,42,NA,NA,rls,0,NZL,spin,no,30.416896235078056,8.189164370982553
1,312,312,NZL,1,218,218,KS Williamson,MDUS Jayasundera,3,82,112,49.16,7884,48.02,Right-hand bat,11,10,0,42,NA,NA,rls,2,NZL,spin,no,30.416896235078056,8.189164370982553
1,313,313,NZL,1,220,220,KS Williamson,MDUS Jayasundera,3,84,113,49.16,7884,48.02,Right-hand bat,12,12,0,42,NA,NA,rls,1,NZL,spin,no,30.416896235078056,8.189164370982553
1,320,320,NZL,1,224,224,KS Williamson,MDUS Jayasundera,3,86,116,49.16,7884,48.02,Right-hand bat,13,13,0,42,NA,NA,rls,1,NZL,spin,no,30.416896235078056,8.189164370982553
1,322,322,NZL,1,226,226,KS Williamson,MDUS Jayasundera,3,87,117,49.16,7884,48.02,Right-hand bat,15,15,0,42,NA,NA,rls,0,NZL,spin,no,30.416896235078056,8.189164370982553
1,323,323,NZL,1,226,226,KS Williamson,MDUS Jayasundera,3,87,118,49.16,7884,48.02,Right-hand bat,16,15,0,42,NA,NA,rls,1,NZL,spin,no,30.416896235078056,8.189164370982553
1,325,325,NZL,1,228,228,KS Williamson,MDUS Jayasundera,3,88,119,49.16,7884,48.02,Right-hand bat,18,17,0,42,NA,NA,rls,0,NZL,spin,no,30.416896235078056,8.189164370982553
