innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,190,190,SRL,3,115,115,AD Mathews,TG Southee,5,0,0,50.18,8079,49.69,Right-hand bat,64,28,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,191,191,SRL,3,115,115,AD Mathews,TG Southee,5,0,1,50.18,8079,49.69,Right-hand bat,65,28,3,10098.2,31.47,61.9,rmf,3,NZL,seam,no,22.92489795918367,1.3893877551020408
1,198,198,SRL,3,121,121,AD Mathews,TG Southee,5,4,3,50.18,8079,49.69,Right-hand bat,66,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,199,199,SRL,3,121,121,AD Mathews,TG Southee,5,4,4,50.18,8079,49.69,Right-hand bat,67,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,200,200,SRL,3,121,121,AD Mathews,TG Southee,5,4,5,50.18,8079,49.69,Right-hand bat,68,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,201,201,SRL,3,121,121,AD Mathews,TG Southee,5,4,6,50.18,8079,49.69,Right-hand bat,69,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,202,202,SRL,3,121,121,AD Mathews,TG Southee,5,4,7,50.18,8079,49.69,Right-hand bat,70,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,203,203,SRL,3,121,121,AD Mathews,TG Southee,5,4,8,50.18,8079,49.69,Right-hand bat,71,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,210,210,SRL,4,121,121,AD Mathews,TG Southee,5,4,9,50.18,8079,49.69,Right-hand bat,72,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,211,211,SRL,4,121,121,AD Mathews,TG Southee,5,4,10,50.18,8079,49.69,Right-hand bat,73,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,212,212,SRL,4,121,121,AD Mathews,TG Southee,5,4,11,50.18,8079,49.69,Right-hand bat,74,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,213,213,SRL,4,121,121,AD Mathews,TG Southee,5,4,12,50.18,8079,49.69,Right-hand bat,75,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,214,214,SRL,4,121,121,AD Mathews,TG Southee,5,4,13,50.18,8079,49.69,Right-hand bat,76,31,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,215,215,SRL,4,121,121,AD Mathews,TG Southee,5,4,14,50.18,8079,49.69,Right-hand bat,77,31,3,10098.2,31.47,61.9,rmf,1,NZL,seam,no,22.92489795918367,1.3893877551020408
1,284,284,SRL,4,165,165,AD Mathews,TG Southee,5,30,54,50.18,8079,49.69,Right-hand bat,78,32,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,285,285,SRL,4,165,165,AD Mathews,TG Southee,5,30,55,50.18,8079,49.69,Right-hand bat,79,32,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,286,286,SRL,4,165,165,AD Mathews,TG Southee,5,30,56,50.18,8079,49.69,Right-hand bat,80,32,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,287,287,SRL,4,165,165,AD Mathews,TG Southee,5,30,57,50.18,8079,49.69,Right-hand bat,81,32,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,288,288,SRL,4,165,165,AD Mathews,TG Southee,5,30,58,50.18,8079,49.69,Right-hand bat,82,32,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,289,289,SRL,4,165,165,AD Mathews,TG Southee,5,30,59,50.18,8079,49.69,Right-hand bat,83,32,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,296,296,SRL,4,167,167,AD Mathews,TG Southee,5,30,60,50.18,8079,49.69,Right-hand bat,84,32,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,297,297,SRL,4,167,167,AD Mathews,TG Southee,5,30,61,50.18,8079,49.69,Right-hand bat,85,32,3,10098.2,31.47,61.9,rmf,1,NZL,seam,no,22.92489795918367,1.3893877551020408
1,310,310,SRL,4,188,188,AD Mathews,TG Southee,5,35,68,50.18,8079,49.69,Right-hand bat,92,45,3,10098.2,31.47,61.9,rmf,2,NZL,seam,no,22.92489795918367,1.3893877551020408
1,311,311,SRL,4,190,190,AD Mathews,TG Southee,5,37,69,50.18,8079,49.69,Right-hand bat,93,47,3,10098.2,31.47,61.9,rmf,2,NZL,seam,no,22.92489795918367,1.3893877551020408
1,312,312,SRL,4,192,192,AD Mathews,TG Southee,5,39,70,50.18,8079,49.69,Right-hand bat,94,49,3,10098.2,31.47,61.9,rmf,1,NZL,seam,no,22.92489795918367,1.3893877551020408
1,406,406,SRL,7,264,264,AD Mathews,TG Southee,5,63,111,50.18,8079,49.69,Right-hand bat,97,50,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,407,407,SRL,7,264,264,AD Mathews,TG Southee,5,63,112,50.18,8079,49.69,Right-hand bat,98,50,3,10098.2,31.47,61.9,rmf,1,NZL,seam,no,22.92489795918367,1.3893877551020408
1,409,409,SRL,7,266,266,AD Mathews,TG Southee,5,64,113,50.18,8079,49.69,Right-hand bat,100,52,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,410,410,SRL,7,266,266,AD Mathews,TG Southee,5,64,114,50.18,8079,49.69,Right-hand bat,101,52,3,10098.2,31.47,61.9,rmf,0,NZL,seam,no,22.92489795918367,1.3893877551020408
1,411,411,SRL,7,266,266,AD Mathews,TG Southee,5,64,115,50.18,8079,49.69,Right-hand bat,102,52,3,10098.2,31.47,61.9,rmf,4,NZL,seam,no,22.92489795918367,1.3893877551020408
1,418,418,SRL,7,272,272,AD Mathews,TG Southee,5,69,117,50.18,8079,49.69,Right-hand bat,103,56,3,10098.2,31.47,61.9,rmf,1,NZL,seam,no,22.92489795918367,1.3893877551020408
1,430,430,SRL,7,274,274,AD Mathews,TG Southee,5,71,119,50.18,8079,49.69,Right-hand bat,109,57,3,10098.2,31.47,61.9,rmf,1,NZL,seam,no,22.92489795918367,1.3893877551020408
