innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,967,674,AUS,6,395,212,PM Siddle,CJ Anderson,8,0,0,14.53,2196,46.99,Right-hand bat,53,37,1,1152,38.6,76.8,lmf,2,NZL,seam,yes,25.013333333333332,10.72
2,968,675,AUS,6,397,214,PM Siddle,CJ Anderson,8,2,1,14.53,2196,46.99,Right-hand bat,54,39,1,1152,38.6,76.8,lmf,0,NZL,seam,yes,25.013333333333332,10.72
2,1025,732,AUS,6,431,248,PM Siddle,CJ Anderson,8,11,33,14.53,2196,46.99,Right-hand bat,63,46,1,1152,38.6,76.8,lmf,0,NZL,seam,yes,25.013333333333332,10.72
2,1026,733,AUS,6,431,248,PM Siddle,CJ Anderson,8,11,34,14.53,2196,46.99,Right-hand bat,64,46,1,1152,38.6,76.8,lmf,0,NZL,seam,yes,25.013333333333332,10.72
2,1027,734,AUS,6,431,248,PM Siddle,CJ Anderson,8,11,35,14.53,2196,46.99,Right-hand bat,65,46,1,1152,38.6,76.8,lmf,1,NZL,seam,yes,25.013333333333332,10.72
2,1046,753,AUS,6,444,261,PM Siddle,CJ Anderson,8,17,44,14.53,2196,46.99,Right-hand bat,72,52,1,1152,38.6,76.8,lmf,0,NZL,seam,yes,25.013333333333332,10.72
2,1054,761,AUS,6,446,263,PM Siddle,CJ Anderson,8,17,48,14.53,2196,46.99,Right-hand bat,74,53,1,1152,38.6,76.8,lmf,4,NZL,seam,yes,25.013333333333332,10.72
2,1055,762,AUS,6,450,267,PM Siddle,CJ Anderson,8,21,49,14.53,2196,46.99,Right-hand bat,75,57,1,1152,38.6,76.8,lmf,6,NZL,seam,yes,25.013333333333332,10.72
2,1056,763,AUS,6,456,273,PM Siddle,CJ Anderson,8,27,50,14.53,2196,46.99,Right-hand bat,76,63,1,1152,38.6,76.8,lmf,0,NZL,seam,yes,25.013333333333332,10.72
2,1057,764,AUS,6,456,273,PM Siddle,CJ Anderson,8,27,51,14.53,2196,46.99,Right-hand bat,77,63,1,1152,38.6,76.8,lmf,1,NZL,seam,yes,25.013333333333332,10.72
2,1068,775,AUS,6,460,277,PM Siddle,CJ Anderson,8,28,55,14.53,2196,46.99,Right-hand bat,82,66,1,1152,38.6,76.8,lmf,0,NZL,seam,yes,25.013333333333332,10.72
2,1069,776,AUS,6,460,277,PM Siddle,CJ Anderson,8,28,56,14.53,2196,46.99,Right-hand bat,83,66,1,1152,38.6,76.8,lmf,1,NZL,seam,yes,25.013333333333332,10.72
