innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1357,133,NZL,1,81,-298,KS Williamson,JM Bird,3,0,0,49.16,8114,48.47,Right-hand bat,25,11,0,804.3,29,57.6,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1358,134,NZL,1,81,-298,KS Williamson,JM Bird,3,0,1,49.16,8114,48.47,Right-hand bat,26,11,0,804.3,29,57.6,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1359,135,NZL,1,81,-298,KS Williamson,JM Bird,3,0,2,49.16,8114,48.47,Right-hand bat,27,11,0,804.3,29,57.6,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1360,136,NZL,1,81,-298,KS Williamson,JM Bird,3,0,3,49.16,8114,48.47,Right-hand bat,28,11,0,804.3,29,57.6,rfm,1,NZL,seam,no,25.013333333333332,10.72
3,1369,145,NZL,1,83,-296,KS Williamson,JM Bird,3,2,5,49.16,8114,48.47,Right-hand bat,31,12,0,804.3,29,57.6,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1370,146,NZL,1,83,-296,KS Williamson,JM Bird,3,2,6,49.16,8114,48.47,Right-hand bat,32,12,0,804.3,29,57.6,rfm,4,NZL,seam,no,25.013333333333332,10.72
3,1371,147,NZL,1,87,-292,KS Williamson,JM Bird,3,6,7,49.16,8114,48.47,Right-hand bat,33,16,0,804.3,29,57.6,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1372,148,NZL,1,87,-292,KS Williamson,JM Bird,3,6,8,49.16,8114,48.47,Right-hand bat,34,16,0,804.3,29,57.6,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1373,149,NZL,1,87,-292,KS Williamson,JM Bird,3,6,9,49.16,8114,48.47,Right-hand bat,35,16,0,804.3,29,57.6,rfm,0,NZL,seam,no,25.013333333333332,10.72
3,1374,150,NZL,1,87,-292,KS Williamson,JM Bird,3,6,10,49.16,8114,48.47,Right-hand bat,36,16,0,804.3,29,57.6,rfm,4,NZL,seam,no,25.013333333333332,10.72
