innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1470,48,WIN,0,12,-221,KC Brathwaite,N Pradeep,1,6,22,33.5,3350,42,Right-hand bat,6,0,0,2700.4,46.44,75.1,rfm,0,SRL,seam,no,11.757777777777779,20.30888888888889
3,1471,49,WIN,0,12,-221,KC Brathwaite,N Pradeep,1,6,23,33.5,3350,42,Right-hand bat,7,0,0,2700.4,46.44,75.1,rfm,0,SRL,seam,no,11.757777777777779,20.30888888888889
3,1472,50,WIN,0,12,-221,KC Brathwaite,N Pradeep,1,6,24,33.5,3350,42,Right-hand bat,8,0,0,2700.4,46.44,75.1,rfm,0,SRL,seam,no,11.757777777777779,20.30888888888889
3,1473,51,WIN,0,12,-221,KC Brathwaite,N Pradeep,1,6,25,33.5,3350,42,Right-hand bat,9,0,0,2700.4,46.44,75.1,rfm,1,SRL,seam,no,11.757777777777779,20.30888888888889
3,1482,60,WIN,1,18,-215,KC Brathwaite,N Pradeep,1,12,28,33.5,3350,42,Right-hand bat,12,1,0,2700.4,46.44,75.1,rfm,0,SRL,seam,no,11.757777777777779,20.30888888888889
3,1483,61,WIN,1,18,-215,KC Brathwaite,N Pradeep,1,12,29,33.5,3350,42,Right-hand bat,13,1,0,2700.4,46.44,75.1,rfm,2,SRL,seam,no,11.757777777777779,20.30888888888889
3,1484,62,WIN,1,20,-213,KC Brathwaite,N Pradeep,1,14,30,33.5,3350,42,Right-hand bat,14,3,0,2700.4,46.44,75.1,rfm,0,SRL,seam,no,11.757777777777779,20.30888888888889
3,1485,63,WIN,1,20,-213,KC Brathwaite,N Pradeep,1,14,31,33.5,3350,42,Right-hand bat,15,3,0,2700.4,46.44,75.1,rfm,0,SRL,seam,no,11.757777777777779,20.30888888888889
3,1486,64,WIN,1,20,-213,KC Brathwaite,N Pradeep,1,14,32,33.5,3350,42,Right-hand bat,16,3,0,2700.4,46.44,75.1,rfm,1,SRL,seam,no,11.757777777777779,20.30888888888889
3,1494,72,WIN,1,24,-209,KC Brathwaite,N Pradeep,1,17,37,33.5,3350,42,Right-hand bat,18,4,0,2700.4,46.44,75.1,rfm,0,SRL,seam,no,11.757777777777779,20.30888888888889
3,1495,73,WIN,1,24,-209,KC Brathwaite,N Pradeep,1,17,38,33.5,3350,42,Right-hand bat,19,4,0,2700.4,46.44,75.1,rfm,1,SRL,seam,no,11.757777777777779,20.30888888888889
3,1497,75,WIN,1,26,-207,KC Brathwaite,N Pradeep,1,18,39,33.5,3350,42,Right-hand bat,21,6,0,2700.4,46.44,75.1,rfm,1,SRL,seam,no,11.757777777777779,20.30888888888889
