innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
3,1590,575,RSA,7,328,384,K Rabada,NM Lyon,9,0,5,13.66,904,45.35,Left-hand bat,134,85,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1591,576,RSA,7,328,384,K Rabada,NM Lyon,9,0,6,13.66,904,45.35,Left-hand bat,135,85,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1592,577,RSA,7,328,384,K Rabada,NM Lyon,9,0,7,13.66,904,45.35,Left-hand bat,136,85,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1593,578,RSA,7,328,384,K Rabada,NM Lyon,9,0,8,13.66,904,45.35,Left-hand bat,137,85,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1600,585,RSA,7,330,386,K Rabada,NM Lyon,9,1,12,13.66,904,45.35,Left-hand bat,138,85,1,18708,31.76,62.1,rob,2,RSA,spin,yes,20.26625,5.88375
3,1601,586,RSA,7,332,388,K Rabada,NM Lyon,9,3,13,13.66,904,45.35,Left-hand bat,139,87,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1602,587,RSA,7,332,388,K Rabada,NM Lyon,9,3,14,13.66,904,45.35,Left-hand bat,140,87,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1603,588,RSA,7,332,388,K Rabada,NM Lyon,9,3,15,13.66,904,45.35,Left-hand bat,141,87,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1604,589,RSA,7,332,388,K Rabada,NM Lyon,9,3,16,13.66,904,45.35,Left-hand bat,142,87,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1605,590,RSA,7,332,388,K Rabada,NM Lyon,9,3,17,13.66,904,45.35,Left-hand bat,143,87,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1612,597,RSA,7,332,388,K Rabada,NM Lyon,9,3,18,13.66,904,45.35,Left-hand bat,144,87,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1613,598,RSA,7,332,388,K Rabada,NM Lyon,9,3,19,13.66,904,45.35,Left-hand bat,145,87,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1614,599,RSA,7,332,388,K Rabada,NM Lyon,9,3,20,13.66,904,45.35,Left-hand bat,146,87,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1615,600,RSA,7,332,388,K Rabada,NM Lyon,9,3,21,13.66,904,45.35,Left-hand bat,147,87,1,18708,31.76,62.1,rob,1,RSA,spin,yes,20.26625,5.88375
3,1637,622,RSA,7,336,392,K Rabada,NM Lyon,9,4,34,13.66,904,45.35,Left-hand bat,157,91,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1638,623,RSA,7,336,392,K Rabada,NM Lyon,9,4,35,13.66,904,45.35,Left-hand bat,158,91,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1639,624,RSA,7,336,392,K Rabada,NM Lyon,9,4,36,13.66,904,45.35,Left-hand bat,159,91,1,18708,31.76,62.1,rob,2,RSA,spin,yes,20.26625,5.88375
3,1640,625,RSA,7,338,394,K Rabada,NM Lyon,9,6,37,13.66,904,45.35,Left-hand bat,160,93,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1641,626,RSA,7,338,394,K Rabada,NM Lyon,9,6,38,13.66,904,45.35,Left-hand bat,161,93,1,18708,31.76,62.1,rob,1,RSA,spin,yes,20.26625,5.88375
3,1650,635,RSA,7,354,410,K Rabada,NM Lyon,9,20,44,13.66,904,45.35,Left-hand bat,164,95,1,18708,31.76,62.1,rob,0,RSA,spin,yes,20.26625,5.88375
3,1651,636,RSA,7,354,410,K Rabada,NM Lyon,9,20,45,13.66,904,45.35,Left-hand bat,165,95,1,18708,31.76,62.1,rob,W,RSA,spin,yes,20.26625,5.88375
