innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1728,36,AUS,0,13,-416,DA Warner,K Rabada,2,3,13,48.2,8540,74.5,Left-hand bat,18,8,0,5448.3,21.56,38.9,rf,0,RSA,seam,no,20.26625,5.88375
4,1729,37,AUS,0,13,-416,DA Warner,K Rabada,2,3,14,48.2,8540,74.5,Left-hand bat,19,8,0,5448.3,21.56,38.9,rf,0,RSA,seam,no,20.26625,5.88375
4,1730,38,AUS,0,13,-416,DA Warner,K Rabada,2,3,15,48.2,8540,74.5,Left-hand bat,20,8,0,5448.3,21.56,38.9,rf,0,RSA,seam,no,20.26625,5.88375
4,1731,39,AUS,0,13,-416,DA Warner,K Rabada,2,3,16,48.2,8540,74.5,Left-hand bat,21,8,0,5448.3,21.56,38.9,rf,0,RSA,seam,no,20.26625,5.88375
4,1732,40,AUS,0,13,-416,DA Warner,K Rabada,2,3,17,48.2,8540,74.5,Left-hand bat,22,8,0,5448.3,21.56,38.9,rf,0,RSA,seam,no,20.26625,5.88375
4,1733,41,AUS,0,13,-416,DA Warner,K Rabada,2,3,18,48.2,8540,74.5,Left-hand bat,23,8,0,5448.3,21.56,38.9,rf,0,RSA,seam,no,20.26625,5.88375
4,1743,51,AUS,0,19,-410,DA Warner,K Rabada,2,3,20,48.2,8540,74.5,Left-hand bat,27,13,0,5448.3,21.56,38.9,rf,1,RSA,seam,no,20.26625,5.88375
4,1753,61,AUS,0,23,-406,DA Warner,K Rabada,2,6,27,48.2,8540,74.5,Left-hand bat,31,15,0,5448.3,21.56,38.9,rf,1,RSA,seam,no,20.26625,5.88375
4,1755,63,AUS,0,25,-404,DA Warner,K Rabada,2,7,28,48.2,8540,74.5,Left-hand bat,33,17,0,5448.3,21.56,38.9,rf,0,RSA,seam,no,20.26625,5.88375
4,1756,64,AUS,0,25,-404,DA Warner,K Rabada,2,7,29,48.2,8540,74.5,Left-hand bat,34,17,0,5448.3,21.56,38.9,rf,4,RSA,seam,no,20.26625,5.88375
4,1757,65,AUS,0,29,-400,DA Warner,K Rabada,2,11,30,48.2,8540,74.5,Left-hand bat,35,21,0,5448.3,21.56,38.9,rf,0,RSA,seam,no,20.26625,5.88375
4,1830,138,AUS,1,59,-370,DA Warner,K Rabada,2,32,66,48.2,8540,74.5,Left-hand bat,54,25,0,5448.3,21.56,38.9,rf,W,RSA,seam,no,20.26625,5.88375
