innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1980,105,AUS,2,34,-577,PSP Handscomb,KA Maharaj,4,0,0,43.63,1600,51.81,Right-hand bat,26,15,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,1981,106,AUS,2,34,-577,PSP Handscomb,KA Maharaj,4,0,1,43.63,1600,51.81,Right-hand bat,27,15,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,1982,107,AUS,2,34,-577,PSP Handscomb,KA Maharaj,4,0,2,43.63,1600,51.81,Right-hand bat,28,15,1,4044.1,28.36,54.6,lo,1,RSA,spin,no,24.416666666666668,8.13888888888889
4,1990,115,AUS,2,44,-567,PSP Handscomb,KA Maharaj,4,1,3,43.63,1600,51.81,Right-hand bat,30,17,1,4044.1,28.36,54.6,lo,4,RSA,spin,no,24.416666666666668,8.13888888888889
4,1991,116,AUS,2,48,-563,PSP Handscomb,KA Maharaj,4,5,4,43.63,1600,51.81,Right-hand bat,31,21,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,1992,117,AUS,2,48,-563,PSP Handscomb,KA Maharaj,4,5,5,43.63,1600,51.81,Right-hand bat,32,21,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,1993,118,AUS,2,48,-563,PSP Handscomb,KA Maharaj,4,5,6,43.63,1600,51.81,Right-hand bat,33,21,1,4044.1,28.36,54.6,lo,1,RSA,spin,no,24.416666666666668,8.13888888888889
4,1996,121,AUS,2,53,-558,PSP Handscomb,KA Maharaj,4,6,7,43.63,1600,51.81,Right-hand bat,36,24,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,2028,153,AUS,3,68,-543,PSP Handscomb,KA Maharaj,4,10,14,43.63,1600,51.81,Right-hand bat,43,29,1,4044.1,28.36,54.6,lo,1,RSA,spin,no,24.416666666666668,8.13888888888889
4,2040,165,AUS,3,78,-533,PSP Handscomb,KA Maharaj,4,16,18,43.63,1600,51.81,Right-hand bat,49,34,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,2041,166,AUS,3,78,-533,PSP Handscomb,KA Maharaj,4,16,19,43.63,1600,51.81,Right-hand bat,50,34,1,4044.1,28.36,54.6,lo,1,RSA,spin,no,24.416666666666668,8.13888888888889
4,2044,169,AUS,3,82,-529,PSP Handscomb,KA Maharaj,4,17,20,43.63,1600,51.81,Right-hand bat,53,38,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,2045,170,AUS,3,82,-529,PSP Handscomb,KA Maharaj,4,17,21,43.63,1600,51.81,Right-hand bat,54,38,1,4044.1,28.36,54.6,lo,1,RSA,spin,no,24.416666666666668,8.13888888888889
4,2052,177,AUS,3,84,-527,PSP Handscomb,KA Maharaj,4,19,24,43.63,1600,51.81,Right-hand bat,55,39,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,2053,178,AUS,3,84,-527,PSP Handscomb,KA Maharaj,4,19,25,43.63,1600,51.81,Right-hand bat,56,39,1,4044.1,28.36,54.6,lo,4,RSA,spin,no,24.416666666666668,8.13888888888889
4,2054,179,AUS,3,88,-523,PSP Handscomb,KA Maharaj,4,23,26,43.63,1600,51.81,Right-hand bat,57,43,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,2055,180,AUS,3,88,-523,PSP Handscomb,KA Maharaj,4,23,27,43.63,1600,51.81,Right-hand bat,58,43,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,2056,181,AUS,3,88,-523,PSP Handscomb,KA Maharaj,4,23,28,43.63,1600,51.81,Right-hand bat,59,43,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
4,2057,182,AUS,3,88,-523,PSP Handscomb,KA Maharaj,4,23,29,43.63,1600,51.81,Right-hand bat,60,43,1,4044.1,28.36,54.6,lo,0,RSA,spin,no,24.416666666666668,8.13888888888889
