innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,417,417,ENG,7,194,194,MA Wood,C de Grandhomme,9,10,23,18.66,472,59.32,Right-hand bat,86,37,0,1614.5,29.16,67.4,rmf,0,ENG,seam,no,29.628926223520818,2.6143170197224253
1,418,418,ENG,7,194,194,MA Wood,C de Grandhomme,9,10,24,18.66,472,59.32,Right-hand bat,87,37,0,1614.5,29.16,67.4,rmf,0,ENG,seam,no,29.628926223520818,2.6143170197224253
1,419,419,ENG,7,194,194,MA Wood,C de Grandhomme,9,10,25,18.66,472,59.32,Right-hand bat,88,37,0,1614.5,29.16,67.4,rmf,1,ENG,seam,no,29.628926223520818,2.6143170197224253
1,427,427,ENG,7,200,200,MA Wood,C de Grandhomme,9,16,29,18.66,472,59.32,Right-hand bat,90,38,0,1614.5,29.16,67.4,rmf,0,ENG,seam,no,29.628926223520818,2.6143170197224253
1,428,428,ENG,7,200,200,MA Wood,C de Grandhomme,9,16,30,18.66,472,59.32,Right-hand bat,91,38,0,1614.5,29.16,67.4,rmf,4,ENG,seam,no,29.628926223520818,2.6143170197224253
1,429,429,ENG,7,204,204,MA Wood,C de Grandhomme,9,20,31,18.66,472,59.32,Right-hand bat,92,42,0,1614.5,29.16,67.4,rmf,0,ENG,seam,no,29.628926223520818,2.6143170197224253
1,430,430,ENG,7,204,204,MA Wood,C de Grandhomme,9,20,32,18.66,472,59.32,Right-hand bat,93,42,0,1614.5,29.16,67.4,rmf,0,ENG,seam,no,29.628926223520818,2.6143170197224253
1,431,431,ENG,7,204,204,MA Wood,C de Grandhomme,9,20,33,18.66,472,59.32,Right-hand bat,94,42,0,1614.5,29.16,67.4,rmf,1,ENG,seam,no,29.628926223520818,2.6143170197224253
1,444,444,ENG,7,217,217,MA Wood,C de Grandhomme,9,30,40,18.66,472,59.32,Right-hand bat,100,44,0,1614.5,29.16,67.4,rmf,0,ENG,seam,no,29.628926223520818,2.6143170197224253
1,445,445,ENG,7,217,217,MA Wood,C de Grandhomme,9,30,41,18.66,472,59.32,Right-hand bat,101,44,0,1614.5,29.16,67.4,rmf,0,ENG,seam,no,29.628926223520818,2.6143170197224253
