innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
1,211,211,ENG,2,98,98,DJ Malan,Mohammed Shami,4,0,0,27.84,1762,41.08,Left-hand bat,37,17,1,5820.4,29.04,51.5,rf,2,ENG,seam,yes,16.366875,6.208125
1,212,212,ENG,2,100,100,DJ Malan,Mohammed Shami,4,2,1,27.84,1762,41.08,Left-hand bat,38,19,1,5820.4,29.04,51.5,rf,0,ENG,seam,yes,16.366875,6.208125
1,213,213,ENG,2,100,100,DJ Malan,Mohammed Shami,4,2,2,27.84,1762,41.08,Left-hand bat,39,19,1,5820.4,29.04,51.5,rf,0,ENG,seam,yes,16.366875,6.208125
1,214,214,ENG,2,100,100,DJ Malan,Mohammed Shami,4,2,3,27.84,1762,41.08,Left-hand bat,40,19,1,5820.4,29.04,51.5,rf,0,ENG,seam,yes,16.366875,6.208125
1,215,215,ENG,2,100,100,DJ Malan,Mohammed Shami,4,2,4,27.84,1762,41.08,Left-hand bat,41,19,1,5820.4,29.04,51.5,rf,0,ENG,seam,yes,16.366875,6.208125
1,222,222,ENG,2,102,102,DJ Malan,Mohammed Shami,4,3,6,27.84,1762,41.08,Left-hand bat,42,19,1,5820.4,29.04,51.5,rf,0,ENG,seam,yes,16.366875,6.208125
1,223,223,ENG,2,102,102,DJ Malan,Mohammed Shami,4,3,7,27.84,1762,41.08,Left-hand bat,43,19,1,5820.4,29.04,51.5,rf,0,ENG,seam,yes,16.366875,6.208125
1,224,224,ENG,2,102,102,DJ Malan,Mohammed Shami,4,3,8,27.84,1762,41.08,Left-hand bat,44,19,1,5820.4,29.04,51.5,rf,4,ENG,seam,yes,16.366875,6.208125
1,225,225,ENG,2,106,106,DJ Malan,Mohammed Shami,4,7,9,27.84,1762,41.08,Left-hand bat,45,23,1,5820.4,29.04,51.5,rf,1,ENG,seam,yes,16.366875,6.208125
1,234,234,ENG,2,112,112,DJ Malan,Mohammed Shami,4,8,11,27.84,1762,41.08,Left-hand bat,48,24,1,5820.4,29.04,51.5,rf,0,ENG,seam,yes,16.366875,6.208125
1,235,235,ENG,2,112,112,DJ Malan,Mohammed Shami,4,8,12,27.84,1762,41.08,Left-hand bat,49,24,1,5820.4,29.04,51.5,rf,0,ENG,seam,yes,16.366875,6.208125
1,236,236,ENG,2,112,112,DJ Malan,Mohammed Shami,4,8,13,27.84,1762,41.08,Left-hand bat,50,24,1,5820.4,29.04,51.5,rf,W,ENG,seam,yes,16.366875,6.208125
