innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
4,1606,288,IND,8,142,-51,HH Pandya,BA Stokes,8,22,41,35.08,545,77.24,Right-hand bat,66,25,3,6126,32.97,58.9,rfm,1,ENG,seam,no,16.366875,6.208125
4,1611,293,IND,8,152,-41,HH Pandya,BA Stokes,8,23,42,35.08,545,77.24,Right-hand bat,71,35,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1618,300,IND,9,154,-39,HH Pandya,BA Stokes,8,23,43,35.08,545,77.24,Right-hand bat,72,35,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1619,301,IND,9,154,-39,HH Pandya,BA Stokes,8,23,44,35.08,545,77.24,Right-hand bat,73,35,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1620,302,IND,9,154,-39,HH Pandya,BA Stokes,8,23,45,35.08,545,77.24,Right-hand bat,74,35,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1621,303,IND,9,154,-39,HH Pandya,BA Stokes,8,23,46,35.08,545,77.24,Right-hand bat,75,35,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1622,304,IND,9,154,-39,HH Pandya,BA Stokes,8,23,47,35.08,545,77.24,Right-hand bat,76,35,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1623,305,IND,9,154,-39,HH Pandya,BA Stokes,8,23,48,35.08,545,77.24,Right-hand bat,77,35,3,6126,32.97,58.9,rfm,4,ENG,seam,no,16.366875,6.208125
4,1630,312,IND,9,158,-35,HH Pandya,BA Stokes,8,27,49,35.08,545,77.24,Right-hand bat,78,39,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1631,313,IND,9,158,-35,HH Pandya,BA Stokes,8,27,50,35.08,545,77.24,Right-hand bat,79,39,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1632,314,IND,9,158,-35,HH Pandya,BA Stokes,8,27,51,35.08,545,77.24,Right-hand bat,80,39,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1633,315,IND,9,158,-35,HH Pandya,BA Stokes,8,27,52,35.08,545,77.24,Right-hand bat,81,39,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1634,316,IND,9,158,-35,HH Pandya,BA Stokes,8,27,53,35.08,545,77.24,Right-hand bat,82,39,3,6126,32.97,58.9,rfm,1,ENG,seam,no,16.366875,6.208125
4,1642,324,IND,9,162,-31,HH Pandya,BA Stokes,8,31,59,35.08,545,77.24,Right-hand bat,84,40,3,6126,32.97,58.9,rfm,0,ENG,seam,no,16.366875,6.208125
4,1643,325,IND,9,162,-31,HH Pandya,BA Stokes,8,31,60,35.08,545,77.24,Right-hand bat,85,40,3,6126,32.97,58.9,rfm,W,ENG,seam,no,16.366875,6.208125
