innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,1219,287,PAK,2,116,-303,Asad Shafiq,HMRKB Herath,4,0,0,39.21,7398,47.17,Right-hand bat,58,21,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1220,288,PAK,2,116,-303,Asad Shafiq,HMRKB Herath,4,0,1,39.21,7398,47.17,Right-hand bat,59,21,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1227,295,PAK,2,116,-303,Asad Shafiq,HMRKB Herath,4,0,2,39.21,7398,47.17,Right-hand bat,60,21,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1228,296,PAK,2,116,-303,Asad Shafiq,HMRKB Herath,4,0,3,39.21,7398,47.17,Right-hand bat,61,21,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1229,297,PAK,2,116,-303,Asad Shafiq,HMRKB Herath,4,0,4,39.21,7398,47.17,Right-hand bat,62,21,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1230,298,PAK,2,116,-303,Asad Shafiq,HMRKB Herath,4,0,5,39.21,7398,47.17,Right-hand bat,63,21,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1231,299,PAK,2,116,-303,Asad Shafiq,HMRKB Herath,4,0,6,39.21,7398,47.17,Right-hand bat,64,21,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1232,300,PAK,2,116,-303,Asad Shafiq,HMRKB Herath,4,0,7,39.21,7398,47.17,Right-hand bat,65,21,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1239,307,PAK,2,118,-301,Asad Shafiq,HMRKB Herath,4,0,8,39.21,7398,47.17,Right-hand bat,66,21,1,23832.3,27.82,59.5,lo,1,SRL,spin,no,8.880624999999998,18.444375
2,1305,373,PAK,2,143,-276,Asad Shafiq,HMRKB Herath,4,7,36,39.21,7398,47.17,Right-hand bat,78,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1306,374,PAK,2,143,-276,Asad Shafiq,HMRKB Herath,4,7,37,39.21,7398,47.17,Right-hand bat,79,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1307,375,PAK,2,143,-276,Asad Shafiq,HMRKB Herath,4,7,38,39.21,7398,47.17,Right-hand bat,80,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1308,376,PAK,2,143,-276,Asad Shafiq,HMRKB Herath,4,7,39,39.21,7398,47.17,Right-hand bat,81,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1309,377,PAK,2,143,-276,Asad Shafiq,HMRKB Herath,4,7,40,39.21,7398,47.17,Right-hand bat,82,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1310,378,PAK,2,143,-276,Asad Shafiq,HMRKB Herath,4,7,41,39.21,7398,47.17,Right-hand bat,83,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1321,389,PAK,2,145,-274,Asad Shafiq,HMRKB Herath,4,7,43,39.21,7398,47.17,Right-hand bat,88,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1322,390,PAK,2,145,-274,Asad Shafiq,HMRKB Herath,4,7,44,39.21,7398,47.17,Right-hand bat,89,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1329,397,PAK,2,149,-270,Asad Shafiq,HMRKB Herath,4,10,49,39.21,7398,47.17,Right-hand bat,90,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1330,398,PAK,2,149,-270,Asad Shafiq,HMRKB Herath,4,10,50,39.21,7398,47.17,Right-hand bat,91,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1331,399,PAK,2,149,-270,Asad Shafiq,HMRKB Herath,4,10,51,39.21,7398,47.17,Right-hand bat,92,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1332,400,PAK,2,149,-270,Asad Shafiq,HMRKB Herath,4,10,52,39.21,7398,47.17,Right-hand bat,93,24,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1333,401,PAK,2,149,-270,Asad Shafiq,HMRKB Herath,4,10,53,39.21,7398,47.17,Right-hand bat,94,24,1,23832.3,27.82,59.5,lo,4,SRL,spin,no,8.880624999999998,18.444375
2,1334,402,PAK,2,153,-266,Asad Shafiq,HMRKB Herath,4,14,54,39.21,7398,47.17,Right-hand bat,95,28,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1427,495,PAK,2,193,-226,Asad Shafiq,HMRKB Herath,4,37,108,39.21,7398,47.17,Right-hand bat,104,31,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1428,496,PAK,2,193,-226,Asad Shafiq,HMRKB Herath,4,37,109,39.21,7398,47.17,Right-hand bat,105,31,1,23832.3,27.82,59.5,lo,1,SRL,spin,no,8.880624999999998,18.444375
2,1437,505,PAK,2,195,-224,Asad Shafiq,HMRKB Herath,4,39,113,39.21,7398,47.17,Right-hand bat,108,32,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1438,506,PAK,2,195,-224,Asad Shafiq,HMRKB Herath,4,39,114,39.21,7398,47.17,Right-hand bat,109,32,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1439,507,PAK,2,195,-224,Asad Shafiq,HMRKB Herath,4,39,115,39.21,7398,47.17,Right-hand bat,110,32,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1440,508,PAK,2,195,-224,Asad Shafiq,HMRKB Herath,4,39,116,39.21,7398,47.17,Right-hand bat,111,32,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1441,509,PAK,2,195,-224,Asad Shafiq,HMRKB Herath,4,39,117,39.21,7398,47.17,Right-hand bat,112,32,1,23832.3,27.82,59.5,lo,0,SRL,spin,no,8.880624999999998,18.444375
2,1442,510,PAK,2,195,-224,Asad Shafiq,HMRKB Herath,4,39,118,39.21,7398,47.17,Right-hand bat,113,32,1,23832.3,27.82,59.5,lo,W,SRL,spin,no,8.880624999999998,18.444375
