innings,match_balls,inn_balls,bat_team,team_wkts,team_score,team_lead,batter,bowler,bat_position,bat_score,bat_balls,bat_avg,career_bat_balls,bat_sr,bat_arm,bowl_balls,bowl_runs,bowl_wkts,career_bowl_balls,bowl_avg,bowl_sr,bowl_type,outcome,host_country,bowl_class,bat_win_toss,seam_factor,spin_factor
2,687,105,SRL,4,41,-301,LD Chandimal,MJ Leach,6,0,3,44.28,7350,50.01,Right-hand bat,33,6,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,688,106,SRL,4,41,-301,LD Chandimal,MJ Leach,6,0,4,44.28,7350,50.01,Right-hand bat,34,6,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,689,107,SRL,4,41,-301,LD Chandimal,MJ Leach,6,0,5,44.28,7350,50.01,Right-hand bat,35,6,1,540,30.57,77.1,lo,1,ENG,spin,no,5.171296296296297,25.85648148148148
2,699,117,SRL,4,43,-299,LD Chandimal,MJ Leach,6,1,12,44.28,7350,50.01,Right-hand bat,39,8,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,700,118,SRL,4,43,-299,LD Chandimal,MJ Leach,6,1,13,44.28,7350,50.01,Right-hand bat,40,8,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,701,119,SRL,4,43,-299,LD Chandimal,MJ Leach,6,1,14,44.28,7350,50.01,Right-hand bat,41,8,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,710,128,SRL,4,47,-295,LD Chandimal,MJ Leach,6,2,17,44.28,7350,50.01,Right-hand bat,44,9,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,711,129,SRL,4,47,-295,LD Chandimal,MJ Leach,6,2,18,44.28,7350,50.01,Right-hand bat,45,9,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,712,130,SRL,4,47,-295,LD Chandimal,MJ Leach,6,2,19,44.28,7350,50.01,Right-hand bat,46,9,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,713,131,SRL,4,47,-295,LD Chandimal,MJ Leach,6,2,20,44.28,7350,50.01,Right-hand bat,47,9,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,721,139,SRL,4,49,-293,LD Chandimal,MJ Leach,6,2,21,44.28,7350,50.01,Right-hand bat,49,10,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,722,140,SRL,4,49,-293,LD Chandimal,MJ Leach,6,2,22,44.28,7350,50.01,Right-hand bat,50,10,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,723,141,SRL,4,49,-293,LD Chandimal,MJ Leach,6,2,23,44.28,7350,50.01,Right-hand bat,51,10,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,724,142,SRL,4,49,-293,LD Chandimal,MJ Leach,6,2,24,44.28,7350,50.01,Right-hand bat,52,10,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,725,143,SRL,4,49,-293,LD Chandimal,MJ Leach,6,2,25,44.28,7350,50.01,Right-hand bat,53,10,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,744,162,SRL,4,61,-281,LD Chandimal,MJ Leach,6,6,29,44.28,7350,50.01,Right-hand bat,60,11,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,745,163,SRL,4,61,-281,LD Chandimal,MJ Leach,6,6,30,44.28,7350,50.01,Right-hand bat,61,11,1,540,30.57,77.1,lo,2,ENG,spin,no,5.171296296296297,25.85648148148148
2,746,164,SRL,4,63,-279,LD Chandimal,MJ Leach,6,8,31,44.28,7350,50.01,Right-hand bat,62,13,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,747,165,SRL,4,63,-279,LD Chandimal,MJ Leach,6,8,32,44.28,7350,50.01,Right-hand bat,63,13,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,748,166,SRL,4,63,-279,LD Chandimal,MJ Leach,6,8,33,44.28,7350,50.01,Right-hand bat,64,13,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,749,167,SRL,4,63,-279,LD Chandimal,MJ Leach,6,8,34,44.28,7350,50.01,Right-hand bat,65,13,1,540,30.57,77.1,lo,1,ENG,spin,no,5.171296296296297,25.85648148148148
2,758,176,SRL,4,67,-275,LD Chandimal,MJ Leach,6,10,37,44.28,7350,50.01,Right-hand bat,68,15,1,540,30.57,77.1,lo,0,ENG,spin,no,5.171296296296297,25.85648148148148
2,759,177,SRL,4,67,-275,LD Chandimal,MJ Leach,6,10,38,44.28,7350,50.01,Right-hand bat,69,15,1,540,30.57,77.1,lo,1,ENG,spin,no,5.171296296296297,25.85648148148148
